1545.5175.7 <|> 17578.8
-15.1 <|> -1510.75
3.6 <|> 360.18
39 <|> 3901.95
26.3 <|> 2631.32
-31.7 <|> -3171.59
-53.6 <|> -5362.68
-6.6 <|> -660.33
46.4 <|> 4642.32
37.7 <|> 3771.89
-10.3 <|> -1030.52
-38.9 <|> -3891.94
-27.8 <|> -2781.39
14 <|> 1400.7
40.7 <|> 4072.04
14.6 <|> 1460.73
-20.7 <|> -2071.03
-17.2 <|> -1720.86
-8.5 <|> -850.425
-14.8 <|> -1480.74
4.4 <|> 440.22
40 <|> 4002
36.4 <|> 3641.82
-13.5 <|> -1350.67
-62.5 <|> -6253.12
-44.4 <|> -4442.22
30.5 <|> 3051.53
66.6 <|> 6663.33
28.4 <|> 2841.42
-34.7 <|> -3471.74
-49.4 <|> -4942.47
-3 <|> -300.15
23.1 <|> 2311.16
5.2 <|> 520.26
1.1 <|> 110.055
12.3 <|> 1230.62
6.6 <|> 660.33
-14.3 <|> -1430.71
-24.2 <|> -2421.21
-3.9 <|> -390.195
22.5 <|> 2251.12
19.4 <|> 1940.97
-5.7 <|> -570.285
-19 <|> -1900.95
-7.6 <|> -760.38
6 <|> 600.3
7.7 <|> 770.385
5.1 <|> 510.255
0.8 <|> 80.04
-5.3 <|> -530.265
-12.2 <|> -1220.61
-9 <|> -900.45
16.2 <|> 1620.81
31.1 <|> 3111.55
-4.3 <|> -430.215
-46.4 <|> -4642.32
-22.2 <|> -2221.11
39.1 <|> 3911.95
46.7 <|> 4672.34
-5.5 <|> -550.275
-48.4 <|> -4842.42
-35.9 <|> -3591.79
15.5 <|> 1550.77
50.2 <|> 5022.51
33.2 <|> 3321.66
-19.8 <|> -1980.99
-57.2 <|> -5722.86
-31 <|> -3101.55
31.9 <|> 3191.59
54.5 <|> 5452.72
16.2 <|> 1620.81
-31.8 <|> -3181.59
-38.4 <|> -3841.92
-7.4 <|> -740.37
17.4 <|> 1740.87
17.7 <|> 1770.88
9 <|> 900.45
6 <|> 600.3
2.3 <|> 230.115
-23.9 <|> -2391.19
-41.2 <|> -4122.06
0.1 <|> 10.005
55.1 <|> 5512.76
47.2 <|> 4722.36
-17.7 <|> -1770.88
-64 <|> -6403.2
-35.2 <|> -3521.76
28.9 <|> 2891.44
47.9 <|> 4792.39
19.6 <|> 1960.98
