1545.5175.7 <|> 17578.8
-108.9 <|> -12216.2
-53.6 <|> -6012.73
41.3 <|> 4632.94
52.5 <|> 5889.33
13.1 <|> 1469.53
-7.7 <|> -863.769
-7.1 <|> -796.462
3.7 <|> 415.058
-7.3 <|> -818.898
-71.8 <|> -8054.36
-62.2 <|> -6977.46
104.4 <|> 11711.4
197.3 <|> 22132.7
18.7 <|> 2097.72
-244.1 <|> -27382.6
-235.5 <|> -26417.9
96.1 <|> 10780.3
328.2 <|> 36816.7
135.7 <|> 15222.5
-194.1 <|> -21773.7
-242.9 <|> -27248
-24.1 <|> -2703.48
169.5 <|> 19014.1
134 <|> 15031.8
-49.5 <|> -5552.8
-121.5 <|> -13629.6
-1.7 <|> -190.702
89.6 <|> 10051.1
9.8 <|> 1099.34
-82.5 <|> -9254.66
-39.2 <|> -4397.37
61.7 <|> 6921.37
80.9 <|> 9075.18
-7.8 <|> -874.986
-94 <|> -10544.7
-57.7 <|> -6472.66
68.4 <|> 7672.96
114.1 <|> 12799.5
-11.6 <|> -1301.26
-138.9 <|> -15581.5
-64.3 <|> -7213.03
98.6 <|> 11060.7
114.1 <|> 12799.5
-10.1 <|> -1133
-90.7 <|> -10174.5
-46.9 <|> -5261.14
24.6 <|> 2759.57
27.3 <|> 3062.45
1.3 <|> 145.831
10.1 <|> 1133
28.3 <|> 3174.63
6.8 <|> 762.809
-42.8 <|> -4801.21
-56.6 <|> -6349.26
2.4 <|> 269.227
62.1 <|> 6966.24
40.6 <|> 4554.42
-13.8 <|> -1548.05
-23.9 <|> -2681.05
-23.2 <|> -2602.52
-36.8 <|> -4128.14
-3.4 <|> -381.404
76.2 <|> 8547.94
72 <|> 8076.8
-55.5 <|> -6225.86
-121.2 <|> -13595.9
-7.4 <|> -830.115
110.4 <|> 12384.4
61.2 <|> 6865.28
-50.8 <|> -5698.63
-61 <|> -6842.84
-5 <|> -560.889
10.5 <|> 1177.87
9.8 <|> 1099.34
37.5 <|> 4206.67
30.9 <|> 3466.29
-34.3 <|> -3847.7
-62.4 <|> -6999.89
-3.9 <|> -437.493
50.3 <|> 5642.54
23.8 <|> 2669.83
-21.5 <|> -2411.82
-12.4 <|> -1391
22.4 <|> 2512.78
8.1 <|> 908.64
-45.3 <|> -5081.65
-40.8 <|> -4576.85
40.1 <|> 4498.33
74.1 <|> 8312.37
5.9 <|> 661.849
-56.5 <|> -6338.04
-41.6 <|> -4666.59
-0.8 <|> -89.7422
19.9 <|> 2232.34
26.1 <|> 2927.84
28.7 <|> 3219.5
14.7 <|> 1649.01
-32.9 <|> -3690.65
-66.8 <|> -7493.47
-27.5 <|> -3084.89
50.2 <|> 5631.32
81.9 <|> 9187.36
34.4 <|> 3858.91
-52.9 <|> -5934.2
-101.9 <|> -11430.9
-47.7 <|> -5350.88
78.9 <|> 8850.82
125.5 <|> 14078.3
17.7 <|> 1985.55
-112.7 <|> -12642.4
-105.5 <|> -11834.8
27.8 <|> 3118.54
120.8 <|> 13551.1
56.5 <|> 6338.04
-66.6 <|> -7471.04
-83.4 <|> -9355.62
-5.8 <|> -650.631
48 <|> 5384.53
42.4 <|> 4756.34
8.1 <|> 908.64
-25.1 <|> -2815.66
-37.2 <|> -4173.01
-18.3 <|> -2052.85
26.6 <|> 2983.93
43.4 <|> 4868.51
-2.4 <|> -269.227
-38.5 <|> -4318.84
-12.6 <|> -1413.44
30.6 <|> 3432.64
28.7 <|> 3219.5
-38.8 <|> -4352.5
-73.7 <|> -8267.5
32.6 <|> 3656.99
142.6 <|> 15996.5
37 <|> 4150.58
-175.8 <|> -19720.8
-168.2 <|> -18868.3
101.5 <|> 11386
272.2 <|> 30534.8
75.3 <|> 8446.98
-240.4 <|> -26967.5
-234.6 <|> -26316.9
72.2 <|> 8099.23
238.8 <|> 26788
89.2 <|> 10006.3
-94.3 <|> -10578.4
-103.9 <|> -11655.3
-41.8 <|> -4689.03
-4.3 <|> -482.364
44.9 <|> 5036.78
85.9 <|> 9636.07
35.6 <|> 3993.53
-56.1 <|> -6293.17
-66 <|> -7403.73
-20.5 <|> -2299.64
7 <|> 785.244
40 <|> 4487.11
61.9 <|> 6943.8
9.4 <|> 1054.47
-70.9 <|> -7953.4
-64.8 <|> -7269.12
35.7 <|> 4004.75
82.7 <|> 9277.1
-5.7 <|> -639.413
-73.5 <|> -8245.06
-9.8 <|> -1099.34
58 <|> 6506.31
27.9 <|> 3129.76
-38.8 <|> -4352.5
-45.1 <|> -5059.22
11.1 <|> 1245.17
42.5 <|> 4767.55
16.6 <|> 1862.15
-16.2 <|> -1817.28
-30.1 <|> -3376.55
-16.9 <|> -1895.8
18.6 <|> 2086.51
34.5 <|> 3870.13
15.7 <|> 1761.19
-21.8 <|> -2445.47
-50.3 <|> -5642.54
-20.8 <|> -2333.3
47.4 <|> 5317.23
63.9 <|> 7168.16
0.7 <|> 78.5244
-68.4 <|> -7672.96
-55.9 <|> -6270.74
26.2 <|> 2939.06
69.5 <|> 7796.35
28.5 <|> 3197.07
-33.9 <|> -3802.83
-51.5 <|> -5777.15
-18.4 <|> -2064.07
26.3 <|> 2950.27
43.7 <|> 4902.17
21.8 <|> 2445.47
-19.3 <|> -2165.03
-46.1 <|> -5171.39
-34 <|> -3814.04
20 <|> 2243.55
62.1 <|> 6966.24
30.2 <|> 3387.77
-41.6 <|> -4666.59
-57 <|> -6394.13
5.5 <|> 616.978
42.7 <|> 4789.99
2.2 <|> 246.791
-16.2 <|> -1817.28
15.1 <|> 1693.88
9.9 <|> 1110.56
-22.8 <|> -2557.65
-20.3 <|> -2277.21
8 <|> 897.422
24.1 <|> 2703.48
12.1 <|> 1357.35
-14.7 <|> -1649.01
-24.5 <|> -2748.35
-6.9 <|> -774.026
25.4 <|> 2849.31
34.7 <|> 3892.57
-8.7 <|> -975.946
-49.4 <|> -5541.58
-22.7 <|> -2546.43
26.9 <|> 3017.58
35.7 <|> 4004.75
15.9 <|> 1783.63
-8.9 <|> -998.382
-27 <|> -3028.8
-20.6 <|> -2310.86
-1.1 <|> -123.396
0.4 <|> 44.8711
4.7 <|> 527.235
42.5 <|> 4767.55
49.7 <|> 5575.23
-26 <|> -2916.62
-96.2 <|> -10791.5
-53 <|> -5945.42
59.9 <|> 6719.45
97.2 <|> 10903.7
18.7 <|> 2097.72
-53 <|> -5945.42
-38 <|> -4262.75
-10.1 <|> -1133
-15.5 <|> -1738.76
7.6 <|> 852.551
53.3 <|> 5979.07
35.7 <|> 4004.75
-24.4 <|> -2737.14
-43 <|> -4823.64
-26.7 <|> -2995.15
2.8 <|> 314.098
36.7 <|> 4116.92
34.7 <|> 3892.57
-6.9 <|> -774.026
-44.3 <|> -4969.47
-28.8 <|> -3230.72
40.8 <|> 4576.85
52.4 <|> 5878.11
-28.9 <|> -3241.94
-63.9 <|> -7168.16
-0.8 <|> -89.7422
54.5 <|> 6113.69
31.6 <|> 3544.82
-24.3 <|> -2725.92
-26.9 <|> -3017.58
-0.5 <|> -56.0889
-14.6 <|> -1637.8
-13.5 <|> -1514.4
40.6 <|> 4554.42
58.2 <|> 6528.74
-5.9 <|> -661.849
-79.1 <|> -8873.26
-64.7 <|> -7257.9
33.7 <|> 3780.39
94.3 <|> 10578.4
45.3 <|> 5081.65
-46.4 <|> -5205.05
-80.4 <|> -9019.09
-28.3 <|> -3174.63
40.9 <|> 4588.07
53.9 <|> 6046.38
18.6 <|> 2086.51
-18 <|> -2019.2
-29.6 <|> -3320.46
-22.4 <|> -2512.78
-4.5 <|> -504.8
16.2 <|> 1817.28
25.1 <|> 2815.66
17.3 <|> 1940.68
-7.6 <|> -852.551
-29 <|> -3253.15
-13.4 <|> -1503.18
13.6 <|> 1525.62
6.2 <|> 695.502
-11.5 <|> -1290.04
1.8 <|> 201.92
31.6 <|> 3544.82
21.8 <|> 2445.47
-27.9 <|> -3129.76
-52.8 <|> -5922.98
-20.9 <|> -2344.51
37.3 <|> 4184.23
61 <|> 6842.84
21.8 <|> 2445.47
-37.7 <|> -4229.1
-61 <|> -6842.84
-29.3 <|> -3286.81
33.8 <|> 3791.61
65.6 <|> 7358.86
29.1 <|> 3264.37
-32.5 <|> -3645.78
-61.2 <|> -6865.28
-40.4 <|> -4531.98
25.4 <|> 2849.31
85.8 <|> 9624.85
51.1 <|> 5732.28
-62.8 <|> -7044.76
-103.5 <|> -11610.4
-7.2 <|> -807.68
90.2 <|> 10118.4
56.8 <|> 6371.7
-34.8 <|> -3903.79
-45.5 <|> -5104.09
-1.8 <|> -201.92
1.8 <|> 201.92
-9.2 <|> -1032.04
18.1 <|> 2030.42
36.1 <|> 4049.62
-2.9 <|> -325.315
-39.5 <|> -4431.02
-12.3 <|> -1379.79
27.6 <|> 3096.11
7.3 <|> 818.898
-30.1 <|> -3376.55
-7.5 <|> -841.333
40.5 <|> 4543.2
33 <|> 3701.87
-24.3 <|> -2725.92
-55.7 <|> -6248.3
-20.6 <|> -2310.86
35.3 <|> 3959.87
49.5 <|> 5552.8
17.6 <|> 1974.33
-26.1 <|> -2927.84
-49.6 <|> -5564.02
-30.9 <|> -3466.29
27.2 <|> 3051.23
63.3 <|> 7100.85
27.9 <|> 3129.76
-43.1 <|> -4834.86
-67 <|> -7515.91
-7.1 <|> -796.462
64.1 <|> 7190.59
47.7 <|> 5350.88
-30.6 <|> -3432.64
-60.8 <|> -6820.41
-8.1 <|> -908.64
47.8 <|> 5362.1
31.7 <|> 3556.03
-19.1 <|> -2142.59
-32.5 <|> -3645.78
-7.6 <|> -852.551
15.5 <|> 1738.76
13.3 <|> 1491.96
2.4 <|> 269.227
-2.7 <|> -302.88
-6.4 <|> -717.938
-1 <|> -112.178
2 <|> 224.355
-11.5 <|> -1290.04
-8.2 <|> -919.858
16.9 <|> 1895.8
24.2 <|> 2714.7
2.4 <|> 269.227
-26.8 <|> -3006.36
-29.5 <|> -3309.24
3.4 <|> 381.404
29.8 <|> 3342.9
19.9 <|> 2232.34
0.2 <|> 22.4355
-10.8 <|> -1211.52
-23.1 <|> -2591.31
-26 <|> -2916.62
6.9 <|> 774.026
46.9 <|> 5261.14
31.8 <|> 3567.25
-25.8 <|> -2894.19
-48.3 <|> -5418.19
-12.8 <|> -1435.88
27 <|> 3028.8
24.2 <|> 2714.7
-0.8 <|> -89.7422
-4.6 <|> -516.018
1.7 <|> 190.702
-9.4 <|> -1054.47
-21.4 <|> -2400.6
-6.5 <|> -729.155
26.6 <|> 2983.93
33.3 <|> 3735.52
-5.7 <|> -639.413
-34.1 <|> -3825.26
-20.4 <|> -2288.43
1.7 <|> 190.702
22.5 <|> 2524
28.7 <|> 3219.5
3.9 <|> 437.493
-21.5 <|> -2411.82
-25.8 <|> -2894.19
-13 <|> -1458.31
11 <|> 1233.96
27.3 <|> 3062.45
24.8 <|> 2782.01
2.7 <|> 302.88
-29.8 <|> -3342.9
-44.1 <|> -4947.04
-15.1 <|> -1693.88
37.4 <|> 4195.45
63.1 <|> 7078.42
25.8 <|> 2894.19
-52.2 <|> -5855.68
-86.5 <|> -9703.38
-20.4 <|> -2288.43
80.8 <|> 9063.96
91.8 <|> 10297.9
-11 <|> -1233.96
-100.1 <|> -11229
-61.5 <|> -6898.93
44 <|> 4935.82
80.1 <|> 8985.44
20.3 <|> 2277.21
-48.5 <|> -5440.62
-45.8 <|> -5137.74
9.6 <|> 1076.91
37.8 <|> 4240.32
8.2 <|> 919.858
-27.5 <|> -3084.89
-13.4 <|> -1503.18
23.4 <|> 2624.96
23.3 <|> 2613.74
-11.8 <|> -1323.7
-31.5 <|> -3533.6
-12.4 <|> -1391
22.8 <|> 2557.65
30.8 <|> 3455.07
-0.3 <|> -33.6533
-27.9 <|> -3129.76
-16.2 <|> -1817.28
13.2 <|> 1480.75
16.3 <|> 1828.5
-6 <|> -673.066
-10.6 <|> -1189.08
6.1 <|> 684.284
6.5 <|> 729.155
-4.6 <|> -516.018
-1.4 <|> -157.049
2.6 <|> 291.662
-6.4 <|> -717.938
-6.6 <|> -740.373
7.4 <|> 830.115
14.6 <|> 1637.8
1.2 <|> 134.613
-18 <|> -2019.2
-12.4 <|> -1391
12.1 <|> 1357.35
12.7 <|> 1424.66
-4.7 <|> -527.235
-2.8 <|> -314.098
5 <|> 560.889
-2.3 <|> -258.009
-10.3 <|> -1155.43
-6.8 <|> -762.809
8.3 <|> 931.075
17.9 <|> 2007.98
3.1 <|> 347.751
-16 <|> -1794.84
-12.7 <|> -1424.66
0.6 <|> 67.3066
9.7 <|> 1088.12
14.1 <|> 1581.71
3 <|> 336.533
-16.6 <|> -1862.15
-13 <|> -1458.31
7.6 <|> 852.551
15.6 <|> 1749.97
4.2 <|> 471.147
-16.8 <|> -1884.59
-15.4 <|> -1727.54
14.4 <|> 1615.36
24.6 <|> 2759.57
2.6 <|> 291.662
-23 <|> -2580.09
-30.1 <|> -3376.55
-1.2 <|> -134.613
40.3 <|> 4520.76
39.1 <|> 4386.15
-12.5 <|> -1402.22
-55.1 <|> -6180.99
-31.6 <|> -3544.82
27.7 <|> 3107.32
48.2 <|> 5406.97
16.7 <|> 1873.37
-23.6 <|> -2647.39
-32.4 <|> -3634.56
-10.8 <|> -1211.52
8.5 <|> 953.511
16.3 <|> 1828.5
22.4 <|> 2512.78
9.2 <|> 1032.04
-24.8 <|> -2782.01
-32.7 <|> -3668.21
-0.5 <|> -56.0889
26.8 <|> 3006.36
22.2 <|> 2490.35
2 <|> 224.355
-17.8 <|> -1996.76
-22.8 <|> -2557.65
-6.3 <|> -706.72
12.5 <|> 1402.22
21 <|> 2355.73
18.5 <|> 2075.29
-5.1 <|> -572.107
-35.8 <|> -4015.96
-86.7 <|> -9725.81
-457.5 <|> -51321.3
-68 <|> -7628.09
421.4 <|> 47271.7
135.9 <|> 15245
-379.4 <|> -42560.2
-175.9 <|> -19732.1
336.4 <|> 37736.6
228.4 <|> 25621.4
-278.5 <|> -31241.5
-299.6 <|> -33608.5
187.8 <|> 21067
362.4 <|> 40653.2
-50.7 <|> -5687.41
-366 <|> -41057.1
-112.6 <|> -12631.2
251.9 <|> 28257.6
218.9 <|> 24555.7
-21.5 <|> -2411.82
-160.7 <|> -18027
-213.1 <|> -23905.1
-72.9 <|> -8177.76
292.7 <|> 32834.4
335.7 <|> 37658.1
-168 <|> -18845.9
-430.7 <|> -48315
-45.5 <|> -5104.09
282.3 <|> 31667.8
166.2 <|> 18643.9
16 <|> 1794.84
-90.8 <|> -10185.7
-283.9 <|> -31847.3
-144.6 <|> -16220.9
368.2 <|> 41303.8
403.7 <|> 45286.2
-216.9 <|> -24331.4
-524.7 <|> -58859.7
-83 <|> -9310.75
419.5 <|> 47058.6
335.4 <|> 37624.4
-155.1 <|> -17471.9
-373.6 <|> -42085.7
-79.8 <|> -8989.4
206.2 <|> 23228.2
134.3 <|> 15128.8
-13.1 <|> -1475.7
-32.9 <|> -3706.16
-42.1 <|> -4742.53
-68.5 <|> -7716.46
-30.3 <|> -3413.27
49.2 <|> 5542.34
77 <|> 8673.98
62.3 <|> 7018.04
20 <|> 2252.98
-120.2 <|> -13540.4
-219.1 <|> -24681.4
3.1 <|> 349.212
338.9 <|> 38176.8
238 <|> 26810.5
-233.1 <|> -26258.5
-389.3 <|> -43854.3
-41.9 <|> -4720
280.8 <|> 31631.9
247.5 <|> 27880.7
13.1 <|> 1475.7
-197.9 <|> -22293.3
-228.4 <|> -25729.1
-41.3 <|> -4652.41
183.2 <|> 20637.3
220.2 <|> 24805.3
44.2 <|> 4979.09
-170.6 <|> -19217.9
-224.4 <|> -25278.5
-46 <|> -5181.86
217.4 <|> 24489.9
244.7 <|> 27565.2
-69.8 <|> -7862.91
-306.8 <|> -34560.7
-88.2 <|> -9935.65
241.6 <|> 27216
165.4 <|> 18632.2
-122.3 <|> -13777
-144.2 <|> -16244
15.8 <|> 1779.86
60.7 <|> 6837.8
39.7 <|> 4472.17
20.9 <|> 2354.37
-51.8 <|> -5835.22
-57.9 <|> -6522.38
55.3 <|> 6229.5
63.8 <|> 7187.01
-67.2 <|> -7570.02
-81.6 <|> -9192.17
62.6 <|> 7051.83
118 <|> 13292.6
-22.4 <|> -2523.34
-140.6 <|> -15838.5
-27 <|> -3041.53
134.9 <|> 15196.4
39.8 <|> 4483.43
-132 <|> -14869.7
-8.8 <|> -991.312
162 <|> 18249.2
-25.7 <|> -2895.08
-211.1 <|> -23780.2
31.1 <|> 3503.39
238.7 <|> 26889.3
-18 <|> -2027.68
-235 <|> -26472.5
5.3 <|> 597.04
227.7 <|> 25650.2
23.7 <|> 2669.78
-227.1 <|> -25582.6
-89 <|> -10025.8
201.3 <|> 22676.3
150.2 <|> 16919.9
-154.4 <|> -17393
-159.6 <|> -17978.8
152.4 <|> 17167.7
176.3 <|> 19860
-173.3 <|> -19522.1
-286.7 <|> -32296.5
36.9 <|> 4156.75
361.6 <|> 40733.9
313.5 <|> 35315.5
-132.2 <|> -14892.2
-560 <|> -63083.5
-360.4 <|> -40598.7
348.2 <|> 39224.4
663.8 <|> 74776.5
175.9 <|> 19815
-475.5 <|> -53564.7
-511.8 <|> -57653.8
31.5 <|> 3548.45
449.5 <|> 50635.8
253.5 <|> 28556.5
-228.5 <|> -25740.3
-281.5 <|> -31710.7
102.1 <|> 11501.5
201.5 <|> 22698.8
-100.9 <|> -11366.3
-118.2 <|> -13315.1
174.9 <|> 19702.3
71.1 <|> 8009.35
-268.2 <|> -30212.5
-100 <|> -11264.9
266.6 <|> 30032.3
157.5 <|> 17742.2
-109.5 <|> -12335.1
-105.4 <|> -11873.2
-61.6 <|> -6939.19
-71.7 <|> -8076.94
57.1 <|> 6432.26
192.3 <|> 21662.4
87.8 <|> 9890.59
-118.5 <|> -13348.9
-155.8 <|> -17550.7
-45.4 <|> -5114.27
45.7 <|> 5148.06
99 <|> 11152.3
114.2 <|> 12864.5
0.8 <|> 90.1193
-155.4 <|> -17505.7
-127.3 <|> -14340.2
53.8 <|> 6060.52
154.7 <|> 17426.8
83.3 <|> 9383.67
-65.3 <|> -7355.99
-143.1 <|> -16120.1
-70.2 <|> -7907.97
88.1 <|> 9924.39
155 <|> 17460.6
24.9 <|> 2804.96
-139.8 <|> -15748.3
-100.9 <|> -11366.3
65.7 <|> 7401.05
104.2 <|> 11738
-15.1 <|> -1701
-93 <|> -10476.4
7.4 <|> 833.603
124.9 <|> 14069.9
16.8 <|> 1892.51
-155.2 <|> -17483.1
-78 <|> -8786.63
102.2 <|> 11512.7
91.7 <|> 10329.9
-4.3 <|> -484.391
0.3 <|> 33.7947
-4.7 <|> -529.451
-100.3 <|> -11298.7
-93.4 <|> -10521.4
72.2 <|> 8133.27
139.3 <|> 15692
33.2 <|> 3739.95
-36.4 <|> -4100.43
-29.7 <|> -3345.68
-76.7 <|> -8640.19
-116.4 <|> -13112.4
10.7 <|> 1205.35
202.9 <|> 22856.5
183.1 <|> 20626.1
-71.8 <|> -8088.21
-260.6 <|> -29356.4
-154.2 <|> -17370.5
101.5 <|> 11433.9
213.8 <|> 24084.4
124.5 <|> 14024.8
-46.6 <|> -5249.45
-169.7 <|> -19116.6
-135.7 <|> -15286.5
23.7 <|> 2669.78
122.1 <|> 13754.5
87.1 <|> 9811.74
30.2 <|> 3402
-12.2 <|> -1374.32
-94.1 <|> -10600.3
-125.3 <|> -14114.9
-6.8 <|> -766.014
120.1 <|> 13529.2
106 <|> 11940.8
23.1 <|> 2602.19
-53.1 <|> -5981.67
-119.8 <|> -13495.4
-79.1 <|> -8910.54
79.6 <|> 8966.87
127.2 <|> 14329
0.7 <|> 78.8544
-75.9 <|> -8550.07
-19.5 <|> -2196.66
32.7 <|> 3683.63
3.2 <|> 360.477
-41.7 <|> -4697.47
-9.7 <|> -1092.7
46.3 <|> 5215.65
8.4 <|> 946.253
-25.9 <|> -2917.61
48.7 <|> 5486.01
42.1 <|> 4742.53
-118.5 <|> -13348.9
-128 <|> -14419.1
105.1 <|> 11839.4
210.7 <|> 23735.2
0 <|> 0
-196.9 <|> -22180.6
-98.1 <|> -11050.9
91 <|> 10251.1
105.7 <|> 11907
5.9 <|> 664.63
-54.8 <|> -6173.17
-25.1 <|> -2827.49
35.8 <|> 4032.84
5.8 <|> 653.365
-71.1 <|> -8009.35
-25.7 <|> -2895.08
91.3 <|> 10284.9
85.6 <|> 9642.76
-42.5 <|> -4787.59
-109.6 <|> -12346.3
-35 <|> -3942.72
62.1 <|> 6995.51
68.1 <|> 7671.4
1 <|> 112.649
-52.1 <|> -5869.02
-22.6 <|> -2545.87
45.9 <|> 5170.59
22.3 <|> 2512.08
-71 <|> -7998.09
-52.4 <|> -5902.81
77.8 <|> 8764.1
100 <|> 11264.9
-24.2 <|> -2726.11
-100 <|> -11264.9
-51.6 <|> -5812.69
30.3 <|> 3413.27
79.4 <|> 8944.34
50.7 <|> 5711.31
-48.5 <|> -5463.48
-84.2 <|> -9485.06
3.6 <|> 405.537
80 <|> 9011.93
44.3 <|> 4990.36
-58.1 <|> -6544.91
-119.1 <|> -13416.5
-28 <|> -3154.18
172.3 <|> 19409.4
204.2 <|> 23002.9
-83.4 <|> -9394.94
-345.1 <|> -38875.2
-158.9 <|> -17899.9
278.3 <|> 31350.2
361.7 <|> 40745.2
-35.4 <|> -3987.78
-345.6 <|> -38931.5
-151.6 <|> -17077.6
184 <|> 20727.4
154.8 <|> 17438.1
-89.8 <|> -10115.9
-100.2 <|> -11287.4
108.3 <|> 12199.9
145.6 <|> 16401.7
-91.1 <|> -10262.3
-242 <|> -27261.1
-50 <|> -5632.46
228 <|> 25684
205.9 <|> 23194.5
-72.4 <|> -8155.8
-230.9 <|> -26010.7
-94.7 <|> -10667.9
124.3 <|> 14002.3
151.9 <|> 17111.4
-5.5 <|> -619.57
-108.5 <|> -12222.4
-36.4 <|> -4100.43
51.9 <|> 5846.49
10.2 <|> 1149.02
-43.7 <|> -4922.77
18.3 <|> 2061.48
76.8 <|> 8651.45
-0.6 <|> -67.5895
-103.4 <|> -11647.9
-50.3 <|> -5666.25
89.6 <|> 10093.4
86.5 <|> 9744.15
-46.5 <|> -5238.18
-84.1 <|> -9473.79
0.5 <|> 56.3246
58.2 <|> 6556.18
36.2 <|> 4077.9
-21.6 <|> -2433.22
-54 <|> -6083.05
-24.7 <|> -2782.43
31.7 <|> 3570.98
56.8 <|> 6398.47
26 <|> 2928.88
-38.8 <|> -4370.79
-75.4 <|> -8493.74
-24.2 <|> -2726.11
77.9 <|> 8775.37
79.4 <|> 8944.34
-47.8 <|> -5384.63
-102.2 <|> -11512.7
15.5 <|> 1746.06
118.7 <|> 13371.4
22.1 <|> 2489.55
-139 <|> -15658.2
-82.4 <|> -9282.29
118.3 <|> 13326.4
133.7 <|> 15061.2
-35.8 <|> -4032.84
-121.2 <|> -13653.1
-45.4 <|> -5114.27
47.8 <|> 5384.63
49.3 <|> 5553.6
13.1 <|> 1475.7
6.9 <|> 777.279
-10.6 <|> -1194.08
-37.7 <|> -4246.87
-24.5 <|> -2759.9
5.6 <|> 630.835
29.2 <|> 3289.35
40.6 <|> 4573.55
8 <|> 901.193
-44.2 <|> -4979.09
-42.8 <|> -4821.38
13.4 <|> 1509.5
39.4 <|> 4438.37
8.1 <|> 912.458
-18.7 <|> -2106.54
-11.7 <|> -1317.99
21.3 <|> 2399.43
27.7 <|> 3120.38
-43.6 <|> -4911.5
-77.6 <|> -8741.57
35.9 <|> 4044.1
131.1 <|> 14768.3
28.2 <|> 3176.7
-134 <|> -15095
-110.2 <|> -12413.9
65 <|> 7322.19
141.9 <|> 15984.9
35.5 <|> 3999.04
-96.8 <|> -10904.4
-103.1 <|> -11614.1
2.5 <|> 281.623
101.8 <|> 11467.7
80.7 <|> 9090.78
-50.1 <|> -5643.72
-106.5 <|> -11997.1
-0.4 <|> -45.0596
71.7 <|> 8076.94
5.3 <|> 597.04
-24.3 <|> -2737.37
34 <|> 3830.07
20.8 <|> 2343.1
-70 <|> -7885.44
-65.7 <|> -7401.05
52.3 <|> 5891.55
100.4 <|> 11310
13.1 <|> 1475.7
-72.9 <|> -8212.12
-69.1 <|> -7784.05
1.3 <|> 146.444
62 <|> 6984.24
45.3 <|> 5103
-3.2 <|> -360.477
-24.2 <|> -2726.11
-39.7 <|> -4472.17
-38 <|> -4280.67
13.3 <|> 1498.23
70.6 <|> 7953.03
58.7 <|> 6612.5
-29.2 <|> -3289.35
-98.4 <|> -11084.7
-58.8 <|> -6623.77
62.1 <|> 6995.51
116.7 <|> 13146.2
12.3 <|> 1385.58
-105.2 <|> -11850.7
-59.3 <|> -6680.09
58.1 <|> 6544.91
61.5 <|> 6927.92
-27.1 <|> -3052.79
-51.4 <|> -5790.16
17 <|> 1915.03
55.9 <|> 6297.09
-3.5 <|> -394.272
-70.7 <|> -7964.29
-27.1 <|> -3052.79
81.1 <|> 9135.84
68.8 <|> 7750.26
-77 <|> -8673.98
-113.1 <|> -12740.6
49 <|> 5519.81
146.4 <|> 16491.8
9.5 <|> 1070.17
-144.9 <|> -16322.9
-85.6 <|> -9642.76
88.4 <|> 9958.18
133.6 <|> 15049.9
9.6 <|> 1081.43
-111.1 <|> -12515.3
-94.5 <|> -10645.3
30 <|> 3379.47
110.2 <|> 12413.9
50.2 <|> 5654.99
-54.4 <|> -6128.11
-80 <|> -9011.93
-16.2 <|> -1824.92
53.1 <|> 5981.67
43.8 <|> 4934.03
-5.9 <|> -664.63
-20.5 <|> -2309.31
-17.1 <|> -1926.3
-19.4 <|> -2185.39
-2.5 <|> -281.623
37.1 <|> 4179.28
42.4 <|> 4776.32
-16.6 <|> -1869.98
-65.6 <|> -7389.78
-29 <|> -3266.82
51.7 <|> 5823.96
74 <|> 8336.03
-3.1 <|> -349.212
-90.2 <|> -10160.9
-63.4 <|> -7141.95
55.8 <|> 6285.82
110.7 <|> 12470.3
21.3 <|> 2399.43
-96.7 <|> -10893.2
-87.4 <|> -9845.53
19.7 <|> 2219.19
78.1 <|> 8797.9
53.9 <|> 6071.79
4.2 <|> 473.126
-53.1 <|> -5981.67
-79 <|> -8899.28
-11.6 <|> -1306.73
77.9 <|> 8775.37
59 <|> 6646.3
-29.1 <|> -3278.09
-47.1 <|> -5305.77
8.2 <|> 923.723
17.4 <|> 1960.09
-30.3 <|> -3413.27
-26 <|> -2928.88
40.2 <|> 4528.49
63 <|> 7096.89
-3.4 <|> -383.007
-76.3 <|> -8595.13
-50 <|> -5632.46
41.7 <|> 4697.47
70 <|> 7885.44
12.9 <|> 1453.17
-42.5 <|> -4787.59
-45 <|> -5069.21
-8.1 <|> -912.458
27.1 <|> 3052.79
37.9 <|> 4269.4
23.9 <|> 2692.31
-19.1 <|> -2151.6
-52.8 <|> -5947.87
-26.3 <|> -2962.67
22.1 <|> 2489.55
37.5 <|> 4224.34
27 <|> 3041.53
6.3 <|> 709.689
-22.4 <|> -2523.34
-42.8 <|> -4821.38
-32.2 <|> -3627.3
13.8 <|> 1554.56
53.2 <|> 5992.93
38.8 <|> 4370.79
-6.2 <|> -698.424
-34.7 <|> -3908.92
-42.6 <|> -4798.85
-17.2 <|> -1937.56
34.6 <|> 3897.66
40.7 <|> 4584.82
-8.1 <|> -912.458
-21 <|> -2365.63
13.1 <|> 1475.7
13.8 <|> 1554.56
-23 <|> -2590.93
-37.6 <|> -4235.61
-10.6 <|> -1194.08
42.5 <|> 4787.59
64.6 <|> 7277.13
-2.1 <|> -236.563
-76.5 <|> -8617.66
-43.6 <|> -4911.5
38.2 <|> 4303.2
50.9 <|> 5733.84
1.6 <|> 180.239
-29.4 <|> -3311.88
-16 <|> -1802.39
9.2 <|> 1036.37
19.3 <|> 2174.13
5.9 <|> 664.63
-23 <|> -2590.93
-31 <|> -3492.12
4.7 <|> 529.451
53.6 <|> 6037.99
42.8 <|> 4821.38
-41 <|> -4618.61
