,IDHM,IDHM Educação,IDHM Renda,IDHM Longevidade,municipio,codigo
47,0.643,0.498,0.653,0.818,Teixeirópolis,110155
48,0.589,0.434,0.622,0.757,Theobroma,110160
49,0.609,0.471,0.621,0.772,Urupá,110170
50,0.584,0.421,0.626,0.756,Vale Do Anari,110175
51,0.627,0.485,0.641,0.792,Vale Do Paraíso,110180
52,0.604,0.466,0.584,0.808,Acrelândia,120001
53,0.588,0.456,0.578,0.77,Assis Brasil,120005
54,0.614,0.485,0.619,0.77,Brasiléia,120010
55,0.589,0.439,0.603,0.772,Bujari,120013
56,0.575,0.398,0.601,0.794,Capixaba,120017
57,0.664,0.582,0.648,0.776,Cruzeiro Do Sul,120020
58,0.653,0.553,0.654,0.771,Epitaciolândia,120025
59,0.539,0.388,0.559,0.723,Feijó,120030
60,0.469,0.283,0.499,0.731,Jordão,120032
61,0.625,0.546,0.58,0.77,Mâncio Lima,120033
62,0.551,0.373,0.586,0.767,Manoel Urbano,120034
63,0.501,0.361,0.479,0.726,Marechal Thaumaturgo,120035
64,0.622,0.517,0.593,0.786,Plácido De Castro,120038
65,0.532,0.397,0.521,0.726,Porto Walter,120039
66,0.727,0.661,0.729,0.798,Rio Branco,120040
67,0.567,0.477,0.518,0.736,Rodrigues Alves,120042
68,0.517,0.34,0.519,0.781,Santa Rosa Do Purus,120043
69,0.64,0.513,0.649,0.786,Senador Guiomard,120045
70,0.603,0.456,0.593,0.81,Sena Madureira,120050
71,0.539,0.392,0.554,0.72,Tarauacá,120060
72,0.599,0.448,0.621,0.773,Xapuri,120070
73,0.576,0.418,0.593,0.771,Porto Acre,120080
74,0.527,0.377,0.499,0.778,Alvarães,130002
75,0.56,0.455,0.499,0.773,Amaturá,130006
76,0.594,0.526,0.537,0.741,Anamã,130008
77,0.561,0.433,0.54,0.757,Anori,130010
78,0.637,0.54,0.621,0.772,Apuí,130014
79,0.45,0.259,0.481,0.733,Atalaia Do Norte,130020
80,0.577,0.446,0.539,0.799,Autazes,130030
81,0.5,0.315,0.545,0.728,Barcelos,130040
82,0.574,0.522,0.469,0.774,Barreirinha,130050
83,0.574,0.471,0.526,0.763,Benjamin Constant,130060
84,0.506,0.346,0.512,0.731,Beruri,130063
85,0.565,0.484,0.496,0.75,Boa Vista Do Ramos,130068
86,0.588,0.455,0.576,0.777,Boca Do Acre,130070
87,0.56,0.425,0.532,0.776,Borba,130080
88,0.569,0.436,0.544,0.775,Caapiranga,130083
89,0.53,0.379,0.522,0.752,Canutama,130090
90,0.549,0.416,0.534,0.745,Carauari,130100
91,0.557,0.431,0.515,0.779,Careiro,130110
92,0.568,0.45,0.523,0.779,Careiro Da Várzea,130115
93,0.586,0.425,0.606,0.78,Coari,130120
94,0.563,0.421,0.546,0.775,Codajás,130130
95,0.563,0.431,0.548,0.756,Eirunepé,130140
96,0.509,0.349,0.521,0.727,Envira,130150
97,0.53,0.4,0.518,0.719,Fonte Boa,130160
98,0.532,0.387,0.51,0.762,Guajará,130165
99,0.605,0.451,0.621,0.791,Humaitá,130170
100,0.481,0.302,0.476,0.772,Ipixuna,130180
101,0.613,0.476,0.607,0.799,Iranduba,130185
102,0.644,0.534,0.618,0.811,Itacoatiara,130190
103,0.477,0.266,0.529,0.772,Itamarati,130195
104,0.654,0.594,0.594,0.792,Itapiranga,130200
105,0.522,0.345,0.552,0.748,Japurá,130210
106,0.522,0.376,0.538,0.704,Juruá,130220
107,0.516,0.34,0.528,0.766,Jutaí,130230
108,0.531,0.374,0.538,0.744,Lábrea,130240
109,0.614,0.481,0.604,0.795,Manacapuru,130250
110,0.596,0.51,0.556,0.748,Manaquiri,130255
111,0.737,0.658,0.738,0.826,Manaus,130260
112,0.582,0.456,0.58,0.747,Manicoré,130270
113,0.498,0.348,0.466,0.763,Maraã,130280
114,0.588,0.464,0.549,0.8,Maués,130290
115,0.586,0.503,0.513,0.779,Nhamundá,130300
116,0.558,0.412,0.541,0.78,Nova Olinda Do Norte,130310
117,0.57,0.434,0.551,0.776,Novo Airão,130320
118,0.554,0.421,0.532,0.759,Novo Aripuanã,130330
119,0.658,0.605,0.589,0.8,Parintins,130340
120,0.496,0.317,0.531,0.724,Pauini,130350
121,0.647,0.538,0.627,0.802,Presidente Figueiredo,130353
122,0.611,0.493,0.59,0.785,Rio Preto Da Eva,130356
123,0.479,0.323,0.461,0.737,Santa Isabel Do Rio Negro,130360
124,0.49,0.353,0.438,0.759,Santo Antônio Do Içá,130370
125,0.609,0.476,0.61,0.777,São Gabriel Da Cachoeira,130380
126,0.521,0.386,0.471,0.78,São Paulo De Olivença,130390
127,0.577,0.464,0.561,0.739,São Sebastião Do Uatumã,130395
128,0.632,0.584,0.546,0.791,Silves,130400
129,0.616,0.505,0.602,0.769,Tabatinga,130406
130,0.502,0.355,0.512,0.694,Tapauá,130410
131,0.639,0.511,0.637,0.801,Tefé,130420
132,0.548,0.416,0.508,0.779,Tonantins,130423
133,0.527,0.378,0.535,0.724,Uarini,130426
134,0.62,0.575,0.551,0.754,Urucará,130430
135,0.588,0.487,0.538,0.776,Urucurituba,130440
136,0.484,0.319,0.437,0.815,Amajari,140002
137,0.542,0.379,0.518,0.813,Alto Alegre,140005
138,0.752,0.708,0.737,0.816,Boa Vista,140010
139,0.626,0.509,0.597,0.809,Bonfim,140015
140,0.619,0.509,0.581,0.803,Cantá,140017
141,0.624,0.518,0.601,0.78,Caracaraí,140020
142,0.639,0.549,0.6,0.791,Caroebe,140023
143,0.582,0.434,0.56,0.81,Iracema,140028
144,0.665,0.547,0.661,0.813,Mucajaí,140030
145,0.594,0.502,0.52,0.801,Normandia,140040
146,0.65,0.558,0.624,0.788,Pacaraima,140045
147,0.619,0.519,0.574,0.798,Rorainópolis,140047
148,0.655,0.587,0.614,0.78,São João Da Baliza,140050
149,0.649,0.574,0.605,0.788,São Luiz,140060
150,0.453,0.276,0.439,0.766,Uiramutã,140070
151,0.628,0.537,0.579,0.798,Abaetetuba,150010
152,0.622,0.481,0.625,0.8,Abel Figueiredo,150013
153,0.506,0.332,0.517,0.757,Acará,150020
154,0.489,0.311,0.485,0.774,Afuá,150030
155,0.564,0.399,0.563,0.797,Água Azul Do Norte,150034
156,0.564,0.436,0.529,0.779,Alenquer,150040
157,0.642,0.497,0.659,0.809,Almeirim,150050
158,0.665,0.548,0.662,0.811,Altamira,150060
159,0.484,0.29,0.506,0.774,Anajás,150070
160,0.718,0.658,0.684,0.821,Ananindeua,150080
161,0.548,0.371,0.563,0.788,Anapu,150085
162,0.52,0.38,0.48,0.772,Augusto Corrêa,150090
163,0.519,0.358,0.504,0.773,Aurora Do Pará,150095
164,0.541,0.45,0.47,0.748,Aveiro,150100
165,0.471,0.28,0.481,0.777,Bagre,150110
166,0.578,0.467,0.538,0.77,Baião,150120
167,0.594,0.42,0.635,0.784,Bannach,150125
168,0.662,0.564,0.643,0.801,Barcarena,150130
169,0.746,0.673,0.751,0.822,Belém,150140
170,0.588,0.478,0.548,0.775,Belterra,150145
171,0.665,0.592,0.623,0.798,Benevides,150150
172,0.589,0.437,0.601,0.777,Bom Jesus Do Tocantins,150157
173,0.546,0.398,0.531,0.77,Bonito,150160
174,0.6,0.486,0.589,0.755,Bragança,150170
175,0.613,0.451,0.632,0.809,Brasil Novo,150172
176,0.591,0.473,0.588,0.743,Brejo Grande Do Araguaia,150175
177,0.568,0.422,0.555,0.781,Breu Branco,150178
178,0.503,0.312,0.524,0.778,Breves,150180
179,0.552,0.437,0.495,0.779,Bujaru,150190
180,0.473,0.303,0.449,0.779,Cachoeira Do Piriá,150195
181,0.546,0.398,0.525,0.778,Cachoeira Do Arari,150200
182,0.577,0.474,0.538,0.754,Cametá,150210
183,0.673,0.569,0.67,0.801,Canaã Dos Carajás,150215
184,0.655,0.58,0.61,0.794,Capanema,150220
185,0.548,0.385,0.573,0.747,Capitão Poço,150230
186,0.673,0.582,0.654,0.8,Castanhal,150240
187,0.453,0.234,0.516,0.769,Chaves,150250
188,0.602,0.528,0.541,0.763,Colares,150260
189,0.64,0.54,0.631,0.77,Conceição Do Araguaia,150270
190,0.566,0.438,0.56,0.741,Concórdia Do Pará,150275
191,0.55,0.33,0.635,0.795,Cumaru Do Norte,150276
192,0.636,0.536,0.592,0.809,Curionópolis,150277
193,0.502,0.323,0.508,0.769,Curralinho,150280
194,0.578,0.495,0.501,0.78,Curuá,150285
195,0.582,0.48,0.542,0.758,Curuçá,150290
196,0.615,0.502,0.606,0.763,Dom Eliseu,150293
197,0.56,0.405,0.572,0.757,Eldorado Dos Carajás,150295
198,0.563,0.47,0.501,0.756,Faro,150300
199,0.583,0.437,0.573,0.792,Floresta Do Araguaia,150304
200,0.526,0.353,0.54,0.763,Garrafão Do Norte,150307
201,0.56,0.404,0.585,0.743,Goianésia Do Pará,150309
202,0.509,0.333,0.51,0.777,Gurupá,150310
203,0.595,0.49,0.579,0.743,Igarapé-Açu,150320
204,0.547,0.413,0.514,0.77,Igarapé-Miri,150330
205,0.572,0.456,0.55,0.748,Inhangapi,150340
206,0.489,0.304,0.508,0.757,Ipixuna Do Pará,150345
207,0.559,0.427,0.536,0.763,Irituia,150350
208,0.64,0.51,0.644,0.8,Itaituba,150360
209,0.528,0.364,0.543,0.746,Itupiranga,150370
210,0.505,0.279,0.577,0.8,Jacareacanga,150375
211,0.622,0.509,0.628,0.752,Jacundá,150380
212,0.592,0.501,0.547,0.756,Juruti,150390
213,0.541,0.425,0.493,0.754,Limoeiro Do Ajuru,150400
214,0.599,0.458,0.615,0.763,Mãe Do Rio,150405
215,0.597,0.507,0.524,0.801,Magalhães Barata,150410
216,0.668,0.564,0.673,0.785,Marabá,150420
217,0.57,0.454,0.534,0.764,Maracanã,150430
218,0.609,0.521,0.57,0.76,Marapanim,150440
219,0.676,0.628,0.621,0.793,Marituba,150442
220,0.582,0.408,0.605,0.8,Medicilândia,150445
221,0.418,0.207,0.454,0.776,Melgaço,150450
222,0.575,0.467,0.539,0.754,Mocajuba,150460
223,0.547,0.375,0.578,0.757,Moju,150470
224,0.589,0.495,0.541,0.764,Monte Alegre,150480
225,0.547,0.391,0.54,0.775,Muaná,150490
226,0.502,0.346,0.482,0.757,Nova Esperança Do Piriá,150495
227,0.581,0.435,0.59,0.766,Nova Ipixuna,150497
228,0.609,0.507,0.564,0.791,Nova Timboteua,150500
229,0.673,0.519,0.709,0.828,Novo Progresso,150503
230,0.537,0.376,0.557,0.741,Novo Repartimento,150506
231,0.594,0.499,0.556,0.756,Óbidos,150510
232,0.507,0.344,0.502,0.754,Oeiras Do Pará,150520
233,0.623,0.52,0.599,0.778,Oriximiná,150530
234,0.568,0.438,0.575,0.727,Ourém,150540
235,0.624,0.467,0.653,0.795,Ourilândia Do Norte,150543
236,0.515,0.338,0.541,0.746,Pacajá,150548
237,0.589,0.467,0.574,0.761,Palestina Do Pará,150549
238,0.645,0.514,0.667,0.781,Paragominas,150550
239,0.715,0.644,0.701,0.809,Parauapebas,150553
240,0.574,0.443,0.571,0.748,Pau D'Arco,150555
241,0.581,0.478,0.543,0.754,Peixe-Boi,150560
242,0.563,0.402,0.561,0.792,Piçarra,150563
243,0.552,0.404,0.541,0.77,Placas,150565
244,0.562,0.412,0.558,0.773,Ponta De Pedras,150570
245,0.483,0.286,0.513,0.767,Portel,150580
246,0.503,0.322,0.512,0.77,Porto De Moz,150590
247,0.523,0.359,0.512,0.779,Prainha,150600
248,0.577,0.435,0.571,0.772,Primavera,150610
249,0.543,0.397,0.55,0.732,Quatipuru,150611
250,0.672,0.561,0.674,0.804,Redenção,150613
251,0.638,0.495,0.651,0.804,Rio Maria,150616
252,0.602,0.457,0.606,0.788,Rondon Do Pará,150618
253,0.548,0.392,0.548,0.764,Rurópolis,150619
254,0.647,0.541,0.628,0.798,Salinópolis,150620
255,0.608,0.488,0.58,0.793,Salvaterra,150630
256,0.627,0.546,0.575,0.784,Santa Bárbara Do Pará,150635
257,0.557,0.461,0.483,0.775,Santa Cruz Do Arari,150640
258,0.659,0.576,0.622,0.798,Santa Isabel Do Pará,150650
259,0.546,0.424,0.53,0.724,Santa Luzia Do Pará,150655
260,0.544,0.37,0.555,0.783,Santa Maria Das Barreiras,150658
261,0.598,0.471,0.595,0.764,Santa Maria Do Pará,150660
262,0.602,0.478,0.591,0.774,Santana Do Araguaia,150670
263,0.691,0.648,0.632,0.807,Santarém,150680
264,0.587,0.502,0.52,0.774,Santarém Novo,150690
265,0.632,0.561,0.598,0.753,Santo Antônio Do Tauá,150700
266,0.585,0.473,0.552,0.767,São Caetano De Odivelas,150710
267,0.594,0.451,0.629,0.738,São Domingos Do Araguaia,150715
268,0.532,0.382,0.509,0.773,São Domingos Do Capim,150720
269,0.594,0.411,0.638,0.798,São Félix Do Xingu,150730
270,0.608,0.502,0.571,0.785,São Francisco Do Pará,150740
271,0.595,0.447,0.594,0.793,São Geraldo Do Araguaia,150745
272,0.583,0.495,0.522,0.767,São João Da Ponta,150746
273,0.539,0.393,0.529,0.753,São João De Pirabas,150747
274,0.55,0.424,0.53,0.741,São João Do Araguaia,150750
275,0.591,0.471,0.582,0.752,São Miguel Do Guamá,150760
276,0.558,0.439,0.52,0.76,São Sebastião Da Boa Vista,150770
277,0.59,0.405,0.639,0.792,Sapucaia,150775
278,0.514,0.338,0.533,0.754,Senador José Porfírio,150780
279,0.615,0.525,0.583,0.76,Soure,150790
280,0.588,0.45,0.583,0.776,Tailândia,150795
281,0.605,0.536,0.555,0.743,Terra Alta,150796
282,0.635,0.558,0.602,0.763,Terra Santa,150797
283,0.586,0.424,0.596,0.798,Tomé-Açu,150800
284,0.531,0.376,0.514,0.776,Tracuateua,150803
285,0.562,0.392,0.594,0.763,Trairão,150805
286,0.659,0.525,0.67,0.813,Tucumã,150808
287,0.666,0.548,0.675,0.8,Tucuruí,150810
288,0.604,0.425,0.682,0.759,Ulianópolis,150812
289,0.589,0.42,0.609,0.798,Uruará,150815
290,0.617,0.516,0.594,0.768,Vigia,150820
291,0.515,0.366,0.482,0.776,Viseu,150830
292,0.596,0.451,0.594,0.792,Vitória Do Xingu,150835
293,0.646,0.503,0.671,0.8,Xinguara,150840
294,0.709,0.692,0.659,0.783,Serra Do Navio,160005
295,0.642,0.532,0.631,0.79,Amapá,160010
296,0.626,0.502,0.628,0.779,Pedra Branca Do Amapari,160015
297,0.643,0.55,0.636,0.759,Calçoene,160020
298,0.628,0.566,0.576,0.76,Cutias,160021
299,0.656,0.542,0.635,0.82,Ferreira Gomes,160023
300,0.576,0.477,0.528,0.758,Itaubal,160025
301,0.665,0.573,0.641,0.801,Laranjal Do Jari,160027
302,0.733,0.663,0.723,0.82,Macapá,160030
303,0.592,0.449,0.609,0.758,Mazagão,160040
304,0.658,0.527,0.693,0.779,Oiapoque,160050
305,0.64,0.554,0.61,0.777,Porto Grande,160053
306,0.614,0.544,0.539,0.79,Pracuúba,160055
307,0.692,0.638,0.654,0.794,Santana,160060
308,0.592,0.473,0.553,0.794,Tartarugalzinho,160070
309,0.619,0.517,0.587,0.781,Vitória Do Jari,160080
310,0.665,0.502,0.7,0.835,Abreulândia,170025
311,0.657,0.571,0.618,0.804,Aguiarnópolis,170030
312,0.663,0.596,0.61,0.801,Aliança Do Tocantins,170035
313,0.636,0.524,0.616,0.796,Almas,170040
314,0.708,0.623,0.677,0.843,Alvorada,170070
315,0.671,0.605,0.621,0.804,Ananás,170100
316,0.648,0.612,0.576,0.773,Angico,170105
317,0.651,0.588,0.593,0.791,Aparecida Do Rio Negro,170110
318,0.593,0.461,0.611,0.739,Aragominas,170130
319,0.639,0.553,0.587,0.805,Araguacema,170190
320,0.675,0.602,0.642,0.796,Araguaçu,170200
321,0.752,0.712,0.727,0.821,Araguaína,170210
322,0.604,0.473,0.617,0.756,Araguanã,170215
323,0.631,0.525,0.604,0.793,Araguatins,170220
324,0.68,0.601,0.645,0.81,Arapoema,170230
325,0.651,0.523,0.636,0.829,Arraias,170240
326,0.67,0.619,0.614,0.793,Augustinópolis,170255
327,0.677,0.57,0.676,0.804,Aurora Do Tocantins,170270
328,0.627,0.566,0.595,0.733,Axixá Do Tocantins,170290
329,0.642,0.568,0.589,0.792,Babaçulândia,170300
330,0.638,0.571,0.57,0.797,Bandeirantes Do Tocantins,170305
331,0.603,0.517,0.557,0.76,Barra Do Ouro,170307
332,0.642,0.541,0.6,0.817,Barrolândia,170310
333,0.638,0.573,0.606,0.748,Bernardo Sayão,170320
334,0.66,0.555,0.621,0.833,Bom Jesus Do Tocantins,170330
335,0.684,0.601,0.64,0.831,Brasilândia Do Tocantins,170360
336,0.686,0.619,0.635,0.82,Brejinho De Nazaré,170370
337,0.627,0.601,0.575,0.713,Buriti Do Tocantins,170380
338,0.627,0.59,0.548,0.762,Cachoeirinha,170382
339,0.544,0.377,0.578,0.738,Campos Lindos,170384
340,0.662,0.549,0.639,0.826,Cariri Do Tocantins,170386
341,0.64,0.521,0.621,0.81,Carmolândia,170388
342,0.594,0.531,0.543,0.728,Carrasco Bonito,170389
343,0.658,0.534,0.647,0.825,Caseara,170390
344,0.569,0.461,0.571,0.7,Centenário,170410
345,0.619,0.529,0.619,0.726,Chapada De Areia,170460
346,0.62,0.497,0.59,0.814,Chapada Da Natividade,170510
347,0.701,0.614,0.69,0.814,Colinas Do Tocantins,170550
348,0.697,0.639,0.649,0.815,Combinado,170555
349,0.592,0.478,0.588,0.739,Conceição Do Tocantins,170560
350,0.605,0.508,0.574,0.76,Couto Magalhães,170600
351,0.673,0.57,0.663,0.805,Cristalândia,170610
352,0.644,0.555,0.603,0.798,Crixás Do Tocantins,170625
353,0.581,0.429,0.597,0.764,Darcinópolis,170650
354,0.701,0.624,0.673,0.822,Dianópolis,170700
355,0.683,0.585,0.667,0.816,Divinópolis Do Tocantins,170710
356,0.583,0.442,0.551,0.813,Dois Irmãos Do Tocantins,170720
357,0.679,0.566,0.654,0.846,Dueré,170730
358,0.57,0.524,0.495,0.715,Esperantina,170740
359,0.697,0.638,0.653,0.813,Fátima,170755
360,0.689,0.6,0.664,0.822,Figueirópolis,170765
361,0.621,0.522,0.578,0.792,Filadélfia,170770
362,0.67,0.587,0.64,0.801,Formoso Do Araguaia,170820
363,0.659,0.575,0.616,0.808,Fortaleza Do Tabocão,170825
364,0.621,0.497,0.598,0.805,Goianorte,170830
365,0.576,0.462,0.541,0.765,Goiatins,170900
366,0.741,0.67,0.724,0.839,Guaraí,170930
367,0.759,0.706,0.736,0.843,Gurupi,170950
368,0.62,0.518,0.576,0.797,Ipueiras,170980
369,0.612,0.491,0.585,0.798,Itacajá,171050
370,0.616,0.511,0.572,0.799,Itaguatins,171070
371,0.601,0.446,0.611,0.796,Itapiratins,171090
372,0.65,0.531,0.613,0.842,Itaporã Do Tocantins,171110
373,0.662,0.529,0.672,0.815,Jaú Do Tocantins,171150
374,0.584,0.478,0.563,0.742,Juarina,171180
375,0.627,0.496,0.63,0.787,Lagoa Da Confusão,171190
376,0.579,0.471,0.543,0.758,Lagoa Do Tocantins,171195
377,0.675,0.573,0.673,0.798,Lajeado,171200
378,0.66,0.62,0.598,0.775,Lavandeira,171215
379,0.57,0.415,0.584,0.765,Lizarda,171240
380,0.639,0.605,0.593,0.726,Luzinópolis,171245
381,0.631,0.504,0.63,0.792,Marianópolis Do Tocantins,171250
382,0.607,0.463,0.586,0.823,Mateiros,171270
383,0.58,0.498,0.542,0.724,Maurilândia Do Tocantins,171280
384,0.684,0.579,0.675,0.82,Miracema Do Tocantins,171320
385,0.662,0.571,0.633,0.804,Miranorte,171330
386,0.622,0.489,0.608,0.808,Monte Do Carmo,171360
387,0.62,0.547,0.572,0.76,Monte Santo Do Tocantins,171370
388,0.628,0.522,0.586,0.81,Palmeiras Do Tocantins,171380
389,0.596,0.524,0.543,0.745,Muricilândia,171395
390,0.673,0.556,0.646,0.847,Natividade,171420
391,0.643,0.576,0.584,0.792,Nazaré,171430
392,0.631,0.535,0.614,0.765,Nova Olinda,171488
393,0.661,0.628,0.582,0.791,Nova Rosalândia,171500
394,0.639,0.53,0.618,0.797,Novo Acordo,171510
395,0.699,0.654,0.642,0.812,Novo Alegre,171515
396,0.596,0.52,0.559,0.73,Novo Jardim,171525
397,0.675,0.614,0.627,0.798,Oliveira De Fátima,171550
398,0.571,0.436,0.564,0.756,Palmeirante,171570
399,0.673,0.571,0.652,0.817,Palmeirópolis,171575
400,0.764,0.706,0.759,0.831,Paraíso Do Tocantins,171610
401,0.595,0.461,0.588,0.777,Paranã,171620
402,0.661,0.587,0.621,0.792,Pau D'Arco,171630
403,0.732,0.664,0.699,0.846,Pedro Afonso,171650
404,0.674,0.555,0.679,0.812,Peixe,171660
405,0.627,0.518,0.589,0.806,Pequizeiro,171665
406,0.671,0.574,0.645,0.816,Colméia,171670
407,0.605,0.521,0.579,0.733,Pindorama Do Tocantins,171700
408,0.621,0.511,0.593,0.792,Piraquê,171720
409,0.65,0.527,0.633,0.822,Pium,171750
410,0.603,0.455,0.589,0.82,Ponte Alta Do Bom Jesus,171780
411,0.624,0.531,0.587,0.779,Ponte Alta Do Tocantins,171790
412,0.645,0.584,0.586,0.785,Porto Alegre Do Tocantins,171800
413,0.74,0.701,0.699,0.826,Porto Nacional,171820
414,0.583,0.517,0.526,0.73,Praia Norte,171830
415,0.669,0.582,0.628,0.82,Presidente Kennedy,171840
416,0.669,0.595,0.621,0.809,Pugmil,171845
417,0.5,0.345,0.49,0.738,Recursolândia,171850
418,0.572,0.49,0.503,0.76,Riachinho,171855
419,0.608,0.561,0.557,0.718,Rio Da Conceição,171865
420,0.616,0.501,0.588,0.795,Rio Dos Bois,171870
421,0.6,0.482,0.574,0.779,Rio Sono,171875
422,0.606,0.59,0.546,0.691,Sampaio,171880
423,0.659,0.578,0.626,0.791,Sandolândia,171884
424,0.616,0.482,0.604,0.804,Santa Fé Do Araguaia,171886
425,0.634,0.543,0.6,0.784,Santa Maria Do Tocantins,171888
426,0.651,0.527,0.63,0.83,Santa Rita Do Tocantins,171889
427,0.595,0.471,0.574,0.78,Santa Rosa Do Tocantins,171890
428,0.662,0.575,0.618,0.817,Santa Tereza Do Tocantins,171900
429,0.637,0.584,0.583,0.758,Santa Terezinha Do Tocantins,172000
430,0.605,0.506,0.595,0.736,São Bento Do Tocantins,172010
431,0.574,0.446,0.55,0.771,São Félix Do Tocantins,172015
432,0.623,0.544,0.582,0.762,São Miguel Do Tocantins,172020
433,0.605,0.471,0.592,0.794,São Salvador Do Tocantins,172025
434,0.573,0.487,0.516,0.748,São Sebastião Do Tocantins,172030
435,0.643,0.539,0.605,0.814,São Valério,172049
436,0.675,0.592,0.638,0.814,Silvanópolis,172065
437,0.604,0.526,0.55,0.762,Sítio Novo Do Tocantins,172080
438,0.667,0.599,0.623,0.794,Sucupira,172085
439,0.634,0.497,0.628,0.818,Taguatinga,172090
440,0.601,0.47,0.578,0.798,Taipas Do Tocantins,172093
441,0.654,0.535,0.654,0.801,Talismã,172097
442,0.788,0.749,0.789,0.827,Palmas,172100
443,0.589,0.459,0.57,0.782,Tocantínia,172110
444,0.681,0.623,0.634,0.801,Tocantinópolis,172120
445,0.67,0.593,0.629,0.808,Tupirama,172125
446,0.587,0.425,0.601,0.791,Tupiratins,172130
447,0.638,0.561,0.619,0.748,Wanderlândia,172208
448,0.671,0.57,0.648,0.818,Xambioá,172210
449,0.672,0.602,0.643,0.785,Açailândia,210005
450,0.529,0.434,0.471,0.725,Afonso Cunha,210010
451,0.5,0.363,0.494,0.697,Água Doce Do Maranhão,210015
452,0.573,0.475,0.525,0.753,Alcântara,210020
453,0.513,0.374,0.5,0.72,Aldeias Altas,210030
454,0.549,0.473,0.486,0.719,Altamira Do Maranhão,210040
455,0.554,0.444,0.516,0.744,Alto Alegre Do Maranhão,210043
456,0.558,0.483,0.465,0.774,Alto Alegre Do Pindaré,210047
457,0.633,0.474,0.683,0.785,Alto Parnaíba,210050
458,0.52,0.406,0.503,0.688,Amapá Do Maranhão,210055
459,0.555,0.441,0.541,0.716,Amarante Do Maranhão,210060
460,0.581,0.492,0.523,0.762,Anajatuba,210070
461,0.581,0.502,0.511,0.764,Anapurus,210080
462,0.568,0.483,0.529,0.718,Apicum-Açu,210083
463,0.533,0.444,0.483,0.706,Araguanã,210087
464,0.521,0.402,0.497,0.709,Araioses,210090
465,0.512,0.365,0.525,0.701,Arame,210095
466,0.626,0.546,0.587,0.764,Arari,210100
467,0.641,0.634,0.535,0.776,Axixá,210110
468,0.651,0.591,0.619,0.753,Bacabal,210120
469,0.629,0.58,0.558,0.768,Bacabeira,210125
470,0.578,0.484,0.54,0.737,Bacuri,210130
471,0.537,0.479,0.474,0.681,Bacurituba,210135
472,0.687,0.597,0.674,0.807,Balsas,210140
473,0.592,0.484,0.578,0.743,Barão De Grajaú,210150
