,municipio,PIB,codigo
50179,Plácido de Castro,13407.1,1200385
50180,Porto Walter,9918.76,1200393
50181,Rio Branco,22448.3,1200401
50182,Rodrigues Alves,10118.01,1200427
50183,Santa Rosa do Purus,11498.11,1200435
50184,Senador Guiomard,15696.56,1200450
50185,Sena Madureira,11783.19,1200500
50186,Tarauacá,11362.96,1200609
50187,Xapuri,14236.46,1200708
50188,Porto Acre,12294.58,1200807
50189,Alvarães,12221.58,1300029
50190,Amaturá,8276.87,1300060
50191,Anamã,8948.45,1300086
50192,Anori,9497.56,1300102
50193,Apuí,10337.08,1300144
50194,Atalaia do Norte,7578.72,1300201
50195,Autazes,9679.17,1300300
50196,Barcelos,6920.09,1300409
50197,Barreirinha,8724.81,1300508
50198,Benjamin Constant,8162.05,1300607
50199,Beruri,8454.37,1300631
50200,Boa Vista do Ramos,7756.75,1300680
50201,Boca do Acre,12490.68,1300706
50202,Borba,7947.15,1300805
50203,Caapiranga,12934.97,1300839
50204,Canutama,8053.42,1300904
50205,Carauari,11940.27,1301001
50206,Careiro,8688.0,1301100
50207,Careiro da Várzea,10393.08,1301159
50208,Coari,25997.01,1301209
50209,Codajás,17620.6,1301308
50210,Eirunepé,13659.2,1301407
50211,Envira,8614.45,1301506
50212,Fonte Boa,10625.87,1301605
50213,Guajará,7951.37,1301654
50214,Humaitá,12680.12,1301704
50215,Ipixuna,5843.2,1301803
50216,Iranduba,13752.69,1301852
50217,Itacoatiara,20077.08,1301902
50218,Itamarati,13029.89,1301951
50219,Itapiranga,14162.35,1302009
50220,Japurá,23277.54,1302108
50221,Juruá,7918.6,1302207
50222,Jutaí,15908.16,1302306
50223,Lábrea,10994.24,1302405
50224,Manacapuru,14902.39,1302504
50225,Manaquiri,8174.55,1302553
50226,Manaus,38880.73,1302603
50227,Manicoré,9740.64,1302702
50228,Maraã,7609.64,1302801
50229,Maués,8476.64,1302900
50230,Nhamundá,7893.03,1303007
50231,Nova Olinda do Norte,7391.99,1303106
50232,Novo Airão,8664.53,1303205
50233,Novo Aripuanã,8263.52,1303304
50234,Parintins,10300.48,1303403
50235,Pauini,8566.43,1303502
50236,Presidente Figueiredo,26395.42,1303536
50237,Rio Preto da Eva,12417.89,1303569
50238,Santa Isabel do Rio Negro,6063.41,1303601
50239,Santo Antônio do Içá,8768.8,1303700
50240,São Gabriel da Cachoeira,7846.88,1303809
50241,São Paulo de Olivença,7220.56,1303908
50242,São Sebastião do Uatumã,8742.49,1303957
50243,Silves,12465.61,1304005
50244,Tabatinga,9365.33,1304062
50245,Tapauá,11309.44,1304104
50246,Tefé,17092.46,1304203
50247,Tonantins,7871.99,1304237
50248,Uarini,14635.2,1304260
50249,Urucará,18695.49,1304302
50250,Urucurituba,7978.21,1304401
50251,Amajari,14656.62,1400027
50252,Alto Alegre,20335.17,1400050
50253,Boa Vista,26482.05,1400100
