municipio;estado;codigo;Total_Alunos;Relacao_cadastrados;Casos_per_capita;Mortes_per_capita;Relacao_casos_mes;Relacao_obitos_mes;Diferenca_aprovacao;Diferenca_reprovacao;Diferenca_desistencia;diferenca
Rio Crespo;Rondônia;1100262.0;10.0;0.002656748140276302;0.0579171094580233;0.0;0.0220510095642933;0.0;0.0;0.0;0.0;60.95238095238095
Maratá;Rio Grande do Sul;4311791.0;6.0;0.002229654403567447;0.030843552582683;0.0003716090672612;0.0085470085470085;0.0003716090672612;-0.5;0.0;0.5;37.5
Santa Terezinha do Progresso;Santa Catarina;4215687.0;12.0;0.004942339373970346;0.0490115321252059;0.0004118616144975;0.0082372322899505;0.0;-10.700000000000003;10.7;0.0;-5.128205128205138
Porto Alegre do Tocantins;Tocantins;1718006.0;7.0;0.0022300095571838167;0.0149729213125199;0.0003185727938834;0.0117871933736858;0.0;0.30000000000001137;-2.1;1.7999999999999998;58.095238095238095
Mata;Rio Grande do Sul;4312104.0;13.0;0.0026954177897574125;0.0008293593199253;0.0;0.0;0.0;-3.0;0.0;3.000000000000001;17.194570135746606
Ielmo Marinho;Rio Grande do Norte;2404606.0;8.0;0.0005811419439198024;0.0131483364811855;0.0002905709719599;0.0006537846869097;0.0;15.700000000000003;-4.3;-11.4;22.34042553191489
Nossa Senhora do Livramento;Mato Grosso;5106109.0;23.0;0.0017403147699757869;0.047366828087167;0.0009079903147699;0.005069612590799;0.0001513317191283;11.599999999999994;-1.1;-10.5;33.242753623188406
Peçanha;Minas Gerais;3148608.0;22.0;0.0012542044353229577;0.0179579271421241;0.000171027877544;0.0071261615643349;0.0;3.700000000000003;0.6;-4.3;21.54882154882156
Ataléia;Minas Gerais;3104700.0;12.0;0.0009325458501709667;0.026111283804787;0.0003108486167236;0.0076157911097295;0.0;2.0;-3.8999999999999986;1.9;4.901960784313724
Lagoa d'Anta;Rio Grande do Norte;2406205.0;26.0;0.003841040035455754;0.0233417048308465;0.0007386615452799;0.0016250553996158;0.0;2.299999999999997;0.0;-2.3;37.692307692307686
Araguanã;Tocantins;1702158.0;31.0;0.005411066503752836;0.0315936463606214;0.0019200558561703;0.0005236515971373;0.0003491010647582;2.0999999999999943;0.0;-2.1;53.11059907834101
Matutina;Minas Gerais;3141207.0;6.0;0.0016004267804747934;0.0272072552680714;0.0010669511869831;0.0026673779674579;0.0;5.599999999999994;1.1999999999999993;-6.800000000000001;28.26086956521739
Quixaba;Paraíba;2512606.0;9.0;0.004601226993865031;0.0270961145194274;0.0010224948875255;0.0025562372188139;0.0;0.0;0.0;0.0;17.777777777777786
Pintópolis;Minas Gerais;3150570.0;13.0;0.0017317170640735314;0.0029305981084321;0.0001332090049287;0.0002664180098574;0.0;6.5;-3.4;-3.1;19.41391941391942
Terra Nova do Norte;Mato Grosso;5108055.0;34.0;0.0035171200993069206;0.0395158787628012;0.000724112961622;0.0086893555394641;0.0001034447088031;4.3999999999999915;-3.0000000000000004;-1.4;40.87481146304676
Cerrito;Rio Grande do Sul;4305124.0;6.0;0.0009850599244787392;0.0302085043506813;0.0001641766540797;0.0114923657855852;0.0;7.299999999999997;-21.4;14.099999999999998;31.818181818181817
Mucajaí;Roraima;1400308.0;41.0;0.002296532795608581;0.0864840643029182;0.0011202599002968;0.0068895983868257;0.0002240519800593;7.200000000000003;-10.6;3.3999999999999995;30.52985702270816
