municipio,PIB,IDHM,densidade,diferenca,estado,Casos_per_capita,Mortes_per_capita,Relacao_casos_mes,Relacao_obitos_mes,Diferenca_aprovacao,Diferenca_reprovacao
São Sebastião do Alto,21688.85,0.646,23.52,69.42528735632185,Rio de Janeiro,0.0204125253820669,0.0006412311638345,0.0054504648925937,0.0,0.0,0.0
São Sebastião do Anta,10079.81,0.607,81.31,47.435897435897424,Minas Gerais,0.0132723112128146,0.0006102212051868,0.0057971014492753,0.0001525553012967,-1.8999999999999917,0.0
São Sebastião do Caí,27962.06,0.739,230.49,33.35459183673469,Rio Grande do Sul,0.0525987930698851,0.0007397313607163,0.0148335604438388,7.786645902277594e-05,8.799999999999997,-6.800000000000001
São Sebastião do Maranhão,8074.12,0.581,19.4,19.166666666666664,Minas Gerais,0.0135404221425726,0.0,0.007168458781362,0.0,-3.299999999999997,4.6000000000000005
São Sebastião do Oeste,53726.35,0.626,16.6,21.428571428571427,Minas Gerais,0.0199261992619926,0.0004428044280442,0.0026568265682656,0.0001476014760147,6.400000000000006,-6.4
São Sebastião do Paraíso,27604.51,0.722,87.07,15.671075912039765,Minas Gerais,0.028327414172163,0.0008455944529003,0.0084559445290038,0.0002818648176334,-9.0,9.6
São Sebastião do Passé,15605.2,0.657,82.29,10.439560439560438,Bahia,0.031196388261851,0.0005191873589164,0.0027088036117381,0.0001128668171557,-10.799999999999995,-0.9
São Sebastião do Rio Preto,13788.93,0.632,11.77,12.5,Minas Gerais,0.0312084993359893,0.0013280212483399,0.0013280212483399,0.0,0.0,0.0
São Sebastião do Rio Verde,14242.61,0.676,24.31,68.75,Minas Gerais,0.0200803212851405,0.0,0.0147255689424364,0.0,0.0,0.0
São Sebastião do Tocantins,10478.91,0.573,16.73,66.66666666666666,Tocantins,0.0593132154006243,0.0002081165452653,0.0014568158168574,0.0,1.7999999999999972,-1.8
São Sebastião do Uatumã,8742.49,0.577,1.31,26.53153153153154,Amazonas,0.0609129814550641,0.000641940085592,0.0104136947218259,7.132667617689016e-05,9.599999999999994,-0.1
São Sebastião do Umbuzeiro,9416.94,0.581,7.58,16.190476190476186,Paraíba,0.0111779879621668,0.0005732301519059,0.0017196904557179,0.0002866150759529,12.5,-12.5
São Sepé,38242.63,0.708,10.73,35.909090909090914,Rio Grande do Sul,0.0254011261165911,0.0003810168917488,0.0020320900893272,0.0,2.6000000000000085,0.0999999999999996
São Simão,30305.11,0.766,24.82,24.603174603174605,São Paulo,0.0177522516642735,0.0004568594178305,0.003002219031458,0.0,0.4000000000000057,-0.4
São Simão,56444.89,0.72,49.87,47.26997921783487,Goiás,0.0285783482683458,0.0005328166626301,0.0017437636231533,0.0,-11.799999999999995,15.3
