,codigo,abstencao 2020,abstencao 2019,diferenca
94,2301851,62.34309623430963,28.436018957345972,33.907077276963655
95,2611903,62.13592233009708,19.871794871794872,42.26412745830221
96,1100130,62.00873362445415,20.737327188940093,41.27140643551406
97,2311306,61.89848384970337,30.020147750167897,31.87833609953547
98,1722081,61.875,17.857142857142858,44.01785714285714
99,1100452,61.81818181818181,24.497991967871485,37.32018985031033
100,2804409,61.568627450980394,25.70194384449244,35.86668360648795
101,2305233,61.38132295719845,36.094158674803836,25.287164282394613
102,5106422,61.34020618556701,32.74647887323944,28.593727312327573
103,2308609,61.20906801007556,24.50592885375494,36.70313915632062
104,3500105,61.16207951070336,45.65217391304348,15.50990559765988
105,5102793,61.038961038961034,28.000000000000004,33.038961038961034
106,3529906,61.029411764705884,19.553072625698324,41.476339139007564
107,5220108,60.96938775510205,17.62114537444934,43.34824238065271
