,Nome_Município,abstencao
1442,Sumaré,49.62406015037594
1489,São José do Belmonte,49.60629921259843
1058,Novo Cruzeiro,49.60317460317461
1660,Vargem Grande do Sul,49.596774193548384
1405,Seara,49.59349593495935
1224,Porteiras,49.572649572649574
169,Barra de Guabiraba,49.56521739130435
523,Embu das Artes,49.5480690221857
1545,São Vicente Ferrer,49.50980392156863
1004,Mostardas,49.48453608247423
1050,Nova Russas,49.48320413436693
499,Delmiro Gouveia,49.47916666666667
1565,Taquaritinga,49.473684210526315
1151,Pederneiras,49.473684210526315
960,Minaçu,49.458483754512635
1689,Votuporanga,49.45490584737364
1290,Riachão das Neves,49.411764705882355
735,Itapipoca,49.38704028021016
1035,Nova Andradina,49.36708860759494
8,Acrelândia,49.34210526315789
655,Igaci,49.31506849315068
758,Itupeva,49.29577464788733
885,Macaparana,49.27884615384615
1348,Santa Fé do Araguaia,49.26470588235294
1569,Taubaté,49.24277191372189
288,Cafelândia,49.21465968586388
815,José Bonifácio,49.19168591224018
206,Benevides,49.17197452229299
828,Juazeiro do Norte,49.126578876646064
1575,Telêmaco Borba,49.12536443148688
897,Mafra,49.11147011308562
578,Franca,49.09735654416505
929,Marechal Thaumaturgo,49.09090909090909
126,Arraias,49.06542056074766
624,Guaratinguetá,49.03417533432392
40,Alto Santo,49.029126213592235
272,Cabo Frio,48.99095337508699
834,Juruena,48.93617021276596
200,Belford Roxo,48.9261744966443
783,Jaguaribe,48.91975308641975
1238,Porto União,48.91640866873065
672,Indaial,48.90710382513661
34,Alta Floresta,48.9051094890511
74,Anápolis,48.81764438381082
824,Juara,48.78048780487805
1095,Padre Paraíso,48.73096446700508
215,Birigui,48.72122762148338
189,Barão de Grajaú,48.717948717948715
1084,Ourinhos,48.71550903901047
838,Juína,48.71134020618557
1603,Triunfo,48.68913857677903
1226,Portel,48.679245283018865
813,Joinville,48.669950738916256
94,Araioses,48.64864864864865
1338,Salto de Pirapora,48.598130841121495
700,Itaberaba,48.56439704675964
1444,Surubim,48.55855855855856
1448,São Bento do Sul,48.54545454545455
266,Buritis,48.53556485355649
1253,Prainha,48.529411764705884
1028,Niquelândia,48.52216748768473
1583,Tianguá,48.512173128944994
719,Itanhaém,48.47972972972973
835,Juruti,48.466257668711656
615,Guapimirim,48.458149779735685
60,Anagé,48.44444444444444
1627,Uberaba,48.43808806925104
1244,Pouso Alegre,48.43391902215431
1611,Tubarão,48.41341795104261
205,Belém do São Francisco,48.4
133,Assis,48.383620689655174
521,Eldorado do Carajás,48.369565217391305
1034,Nossa Senhora do Socorro,48.36138175376439
1194,Piraju,48.36065573770492
1635,Umburanas,48.31460674157304
219,Boa Vista,48.3125
438,Colíder,48.310810810810814
760,Ituporanga,48.266666666666666
903,Mambaí,48.258706467661696
759,Itupiranga,48.214285714285715
274,Cabreúva,48.19277108433735
1315,Rio Verde de Mato Grosso,48.148148148148145
1390,Santo Antônio do Descoberto,48.09322033898305
1484,São José da Lapa,48.08743169398907
325,Campos Altos,48.07692307692308
337,Canguaretama,48.06201550387597
1117,Paranaguá,48.05825242718447
1113,Paraguaçu Paulista,48.028673835125446
626,Guaraí,48.0
972,Mirinzal,47.953216374269005
1073,Oliveira dos Brejinhos,47.94520547945205
973,Missão Velha,47.935779816513765
175,Barra do Piraí,47.900763358778626
1585,Tietê,47.8494623655914
1188,Pinhão,47.8448275862069
1450,São Bernardo,47.8330658105939
473,Crato,47.830923248053395
814,Jordão,47.82608695652174
1079,Orós,47.80487804878049
797,Jaraguá do Sul,47.77006937561942
93,Araguaína,47.75545104745618
72,Angra dos Reis,47.73869346733669
106,Araripina,47.73828756058158
728,Itapema,47.700170357751276
794,Japeri,47.68611670020121
1005,Mucajaí,47.674418604651166
958,Mimoso do Sul,47.64397905759162
209,Bequimão,47.61904761904761
743,Itaquaquecetuba,47.61904761904761
1168,Peruíbe,47.57630161579892
1567,Tartarugalzinho,47.540983606557376
1482,São Joaquim de Bicas,47.524752475247524
1613,Tucumã,47.506561679790025
92,Araguatins,47.486033519553075
460,Coroatá,47.47663551401869
173,Barra do Corda,47.474747474747474
1436,Sombrio,47.47252747252747
663,Iguatu,47.448591012947446
1064,Novo Repartimento,47.417840375586856
417,Chapecó,47.38028169014085
1579,Teresópolis,47.353760445682454
1623,Ubaitaba,47.349823321554766
1672,Vicência,47.3469387755102
527,Engenheiro Caldas,47.32824427480916
878,Lucas do Rio Verde,47.285464098073554
403,Caxias do Sul,47.283702213279675
996,Montenegro,47.246891651865006
1505,São João do Piauí,47.23618090452261
217,Boa Esperança,47.201492537313435
342,Canoinhas,47.18446601941748
1472,São Gabriel do Oeste,47.17741935483871
863,Lençóis Paulista,47.136563876651984
1282,Redenção,47.09784411276949
140,Auriflama,47.08994708994709
1667,Vera Cruz,47.0873786407767
14,Agrestina,47.05882352941176
339,Canindé,47.05314009661836
154,Balneário Camboriú,47.05202312138728
472,Crateús,47.019311502938706
804,Jaíba,47.0
414,Chapada dos Guimarães,46.98795180722892
687,Iporá,46.986301369863014
441,Conceição da Barra,46.97986577181208
680,Ipameri,46.97674418604651
647,Ibirité,46.96485623003195
1260,Presidente Venceslau,46.93877551020408
45,Alvorada,46.928746928746925
351,Capivari,46.924829157175395
866,Limeira,46.921119592875314
1562,Tapiratiba,46.875
1181,Pindamonhangaba,46.837944664031625
474,Criciúma,46.833130328867234
654,Icó,46.827411167512686
1398,Sapezal,46.79802955665024
1564,Taquari,46.794871794871796
810,Jijoca de Jericoacoara,46.788990825688074
679,Inhumas,46.788990825688074
1523,São Miguel Arcanjo,46.774193548387096
948,Mauá da Serra,46.73913043478261
347,Capela,46.68587896253602
109,Aratuba,46.666666666666664
1235,Porto Murtinho,46.666666666666664
1081,Osvaldo Cruz,46.64179104477612
537,Esperantinópolis,46.60633484162896
511,Dom Eliseu,46.590909090909086
575,Fortaleza,46.583312701163656
1617,Tupã,46.57762938230384
1376,Santana de Parnaíba,46.5736040609137
1684,Vitória de Santo Antão,46.57142857142857
1458,São Domingos do Maranhão,46.557377049180324
1605,Três Lagoas,46.54471544715447
1278,Rancharia,46.540880503144656
466,Corumbá,46.537059538274605
856,Laranjal do Jari,46.51162790697674
861,Lavras da Mangabeira,46.50602409638554
1169,Pesqueira,46.50205761316872
1520,São Mateus do Maranhão,46.478873239436616
782,Jaguariaíva,46.478873239436616
1400,Sapucaia do Sul,46.46781789638933
773,Jacarezinho,46.453089244851256
1473,São Geraldo do Araguaia,46.44549763033176
1043,Nova Mutum,46.43962848297213
1616,Tupaciguara,46.40522875816993
938,Marília,46.384720327421554
790,Jandaia do Sul,46.380090497737555
242,Bragança Paulista,46.37223974763407
1571,Tavares,46.35416666666667
1501,São João da Boa Vista,46.33540372670807
1407,Senador Canedo,46.33431085043988
1516,São Luís do Quitunde,46.330275229357795
844,Lago da Pedra,46.32911392405064
129,Artur Nogueira,46.31901840490797
322,Campo Novo do Parecis,46.31147540983606
614,Guanhães,46.31043256997455
732,Itapetininga,46.30113141862489
7,Acopiara,46.285714285714285
367,Caridade,46.28099173553719
386,Cascavel,46.256486286137886
405,Caçapava,46.25267665952891
1465,São Francisco do Sul,46.206896551724135
151,Baixa Grande,46.198830409356724
853,Lambari,46.192893401015226
57,Amparo,46.1839530332681
524,Embu-Guaçu,46.15384615384615
1663,Vassouras,46.15384615384615
734,Itapevi,46.142093200916726
643,Ibiapina,46.13333333333333
1471,São Gabriel da Palha,46.13333333333333
408,Cedro,46.095717884130984
1431,Sobral,46.091644204851754
15,Agudos,46.07843137254902
1640,União da Vitória,46.04072398190045
1332,Ruy Barbosa,46.012269938650306
125,Aroeiras,45.98930481283423
62,Anajás,45.94594594594595
1154,Pedreira,45.94594594594595
361,Caravelas,45.925925925925924
89,Aragarças,45.91836734693878
1700,Xinguara,45.911949685534594
1670,Viamão,45.91002044989775
650,Ibiúna,45.86466165413533
1177,Pilar,45.857988165680474
422,Cidade Ocidental,45.78313253012048
279,Cachoeiras de Macacu,45.77922077922078
513,Dom Pedro,45.77259475218659
1262,Princesa Isabel,45.76271186440678
1687,Volta Redonda,45.75963718820862
490,Curralinho,45.6953642384106
1359,Santa Maria da Boa Vista,45.69288389513109
940,Mata de São João,45.689655172413794
