municipio;estado;regiao;Presente;Total_Alunos;populacaoTCU2019;casosAcumulado;obitosAcumulado;casosNovos_Semana;obitosNovos_Semana;Casos_per_capita;Mortes_per_capita;Relacao_Presenca;Relacao_casos_mes;Relacao_obitos_mes;diferenca;codigo
Guarulhos;São Paulo;Sudeste;2757.0;4689.0;1379182.0;65441.0;4979;124;1;0.047449140142490256;0.0036101109208211825;0.5879718490083173;8.990836597345383e-05;7.250674675278535e-07;21.27053866389045;3518800.0
Valença;Bahia;Nordeste;324.0;459.0;96562.0;8023.0;143;1;0;0.08308651436382843;0.0014809138170294733;0.7058823529411765;1.0356040678527785e-05;0.0;20.100151836940192;2932903.0
Paragominas;Pará;Norte;368.0;575.0;113145.0;10899.0;241;2;0;0.09632772106588891;0.002130010163948915;0.64;1.7676432895841618e-05;0.0;22.496815286624205;1505502.0
Cajamar;São Paulo;Sudeste;185.0;335.0;76801.0;5451.0;238;2;1;0.07097563833804248;0.0030989179828387653;0.5522388059701493;2.604132758688038e-05;1.302066379344019e-05;28.40057355145669;3509205.0
Santa Cruz do Capibaribe;Pernambuco;Nordeste;281.0;469.0;107937.0;9298.0;164;3;0;0.08614284258409999;0.0015194048380073562;0.5991471215351812;2.7793990939158956e-05;0.0;22.3365232065805;2612505.0
Assis;São Paulo;Sudeste;252.0;449.0;104386.0;12684.0;413;14;0;0.12151054739141263;0.003956469258329661;0.5612472160356348;0.00013411760197727665;0.0;25.60218602695861;3504008.0
Rio Pomba;Minas Gerais;Sudeste;90.0;111.0;17910.0;1095.0;37;0;0;0.06113902847571189;0.0020658849804578447;0.8108108108108109;0.0;0.0;6.061776061776063;3155801.0
Campo Grande;Mato Grosso do Sul;Centro-Oeste;3062.0;4750.0;895982.0;139630.0;4109;11;1;0.15584018428941654;0.0045860296300595325;0.6446315789473684;1.227703235109634e-05;1.1160938500996671e-06;22.4857111289297;5002704.0
Bom Conselho;Pernambuco;Nordeste;89.0;151.0;48554.0;2346.0;74;0;0;0.04831733739753676;0.0015240762861968118;0.5894039735099338;0.0;0.0;23.928128545420964;2602100.0
Tapira;Minas Gerais;Sudeste;5.0;9.0;4773.0;473.0;3;0;0;0.0990990990990991;0.0006285355122564425;0.5555555555555556;0.0;0.0;20.0;3168101.0
Guaratinguetá;São Paulo;Sudeste;275.0;482.0;121798.0;11777.0;310;144;0;0.09669288494063942;0.0025451977864989575;0.5705394190871369;0.0011822854234059673;0.0;18.340379857847815;3518404.0
Curimatá;Piauí;Nordeste;25.0;43.0;11388.0;1209.0;17;0;0;0.10616438356164383;0.0014927994380049174;0.5813953488372093;0.0;0.0;22.27283625029969;2203206.0
Jaraguá do Sul;Santa Catarina;Sul;400.0;715.0;177697.0;36021.0;436;0;0;0.20271023146142028;0.0024536148612525816;0.5594405594405595;0.0;0.0;29.49283725982756;4208906.0
Itapaci;Goiás;Centro-Oeste;81.0;202.0;22981.0;2645.0;61;0;0;0.11509507854314434;0.0026543666507114574;0.400990099009901;0.0;0.0;53.44937719578409;5210901.0
Marituba;Pará;Norte;301.0;534.0;131521.0;3016.0;141;1;0;0.022931699120292578;0.0010720721405707073;0.5636704119850188;7.603348514685867e-06;0.0;27.182742351281675;1504422.0
Juazeiro;Bahia;Nordeste;668.0;991.0;216707.0;18499.0;406;12;0;0.08536410914275958;0.0018734973951002967;0.6740665993945509;5.5374307244343745e-05;0.0;16.393750176744494;2918407.0
Camaragibe;Pernambuco;Nordeste;645.0;1104.0;157828.0;7980.0;447;8;0;0.050561370605976125;0.002832197075297159;0.5842391304347826;5.068809083305877e-05;0.0;27.84914361001318;2603454.0
Arapiraca;Alagoas;Nordeste;954.0;1226.0;231747.0;31198.0;537;1;0;0.13462094439194466;0.002317182099444653;0.7781402936378466;4.315050464515183e-06;0.0;11.418811653546754;2700300.0
Tubarão;Santa Catarina;Sul;341.0;572.0;105686.0;22137.0;472;0;0;0.20946009878318794;0.0044660598376322315;0.5961538461538461;0.0;0.0;21.344615384615384;4218707.0
Jequié;Bahia;Nordeste;542.0;759.0;155966.0;18154.0;395;1;0;0.11639716348434916;0.002532603259684803;0.7140974967061924;6.411653821986843e-06;0.0;16.897599995305036;2918001.0
Jericó;Paraíba;Nordeste;13.0;40.0;7739.0;739.0;15;0;0;0.09549037343326011;0.0019382349140715854;0.325;0.0;0.0;42.04545454545455;2507408.0
São João do Piauí;Piauí;Nordeste;68.0;102.0;20601.0;2536.0;34;19;0;0.12310082034852678;0.0016504053201300908;0.6666666666666666;0.0009222853259550507;0.0;7.777777777777775;2210003.0
Presidente Prudente;São Paulo;Sudeste;797.0;1221.0;228743.0;32263.0;910;44;0;0.14104475328206764;0.003978263815723322;0.6527436527436528;0.00019235561306794088;0.0;22.35526435526436;3541406.0
