NO_MUNICIPIO_ESC;Presente;Total_Alunos;regiao;estado;municipio;data;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Casos_per_capita;Mortes_per_capita;Relacao_Presenca
Magda;4;11;Sudeste;SP;Magda;2021-11-21;3119.0;383.0;0;10;0;0.1227957678743186;0.0032061558191728;0.36363636363636365
São José de Espinharas;10;19;Nordeste;PB;São José de Espinharas;2021-11-21;4682.0;501.0;0;6;0;0.1070055531824006;0.0012815036309269;0.5263157894736842
Águas de Lindóia;51;80;Sudeste;SP;Águas de Lindóia;2021-11-21;18705.0;2083.0;0;52;0;0.1113605987703822;0.0027800053461641;0.6375
Itaparica;54;72;Nordeste;BA;Itaparica;2021-11-21;22228.0;1426.0;0;38;0;0.0641533201367644;0.0017095555155659;0.75
Presidente Tancredo Neves;35;58;Nordeste;BA;Presidente Tancredo Neves;2021-11-21;27719.0;1857.0;0;41;0;0.0669937587936072;0.0014791298387387;0.603448275862069
Santa Bárbara de Goiás;3;11;Centro-Oeste;GO;Santa Bárbara de Goiás;2021-11-21;6560.0;1083.0;0;25;0;0.1650914634146341;0.003810975609756;0.2727272727272727
São Felipe;32;39;Nordeste;BA;São Felipe;2021-11-21;21074.0;3422.0;0;31;0;0.1623801841131252;0.0014710069279681;0.8205128205128205
Matias Barbosa;8;12;Sudeste;MG;Matias Barbosa;2021-11-21;14468.0;2064.0;0;61;0;0.1426596627038982;0.0042162012717721;0.6666666666666666
Rio Formoso;31;91;Nordeste;PE;Rio Formoso;2021-11-21;23535.0;1066.0;0;43;0;0.0452942426173783;0.0018270660718079;0.34065934065934067
Caeté;36;65;Sudeste;MG;Caeté;2021-11-21;44718.0;2202.0;0;75;0;0.049241916006977;0.0016771769757144;0.5538461538461539
Jardinópolis;88;130;Sudeste;SP;Jardinópolis;2021-11-21;44380.0;4238.0;0;138;0;0.0954934655250112;0.0031095087877422;0.676923076923077
Novo Progresso;35;89;Norte;PA;Novo Progresso;2021-11-21;25762.0;2738.0;0;70;0;0.1062805682788603;0.002717180343141;0.39325842696629215
Paraisópolis;45;66;Sudeste;MG;Paraisópolis;2021-11-21;21083.0;2096.0;0;59;0;0.099416591566665;0.0027984632168097;0.6818181818181818
Ivoti;65;101;Sul;RS;Ivoti;2021-11-21;24293.0;3617.0;0;72;0;0.1488906269295682;0.0029638167373317;0.6435643564356436
Cuitegi;8;24;Nordeste;PB;Cuitegi;2021-11-21;6803.0;969.0;0;25;0;0.1424371600764368;0.0036748493311774;0.3333333333333333
Congonhinhas;12;21;Sul;PR;Congonhinhas;2021-11-21;8818.0;1165.0;0;29;0;0.1321161261056929;0.0032887276026309;0.5714285714285714
Bom Jardim da Serra;4;11;Sul;SC;Bom Jardim da Serra;2021-11-21;4743.0;728.0;0;8;0;0.1534893527303394;0.0016866961838498;0.36363636363636365
Capinzal;44;76;Sul;SC;Capinzal;2021-11-21;22848.0;5190.0;0;54;0;0.2271533613445378;0.0023634453781512;0.5789473684210527
Arês;15;25;Nordeste;RN;Arês;2021-11-21;14306.0;1169.0;0;26;0;0.0817139661680413;0.0018174192646442;0.6
Floriano Peixoto;2;3;Sul;RS;Floriano Peixoto;2021-11-21;1766.0;199.0;0;1;0;0.1126840317100792;1.0;0.6666666666666666
Poxoréu;17;29;Centro-Oeste;MT;Poxoréu;2021-11-21;16219.0;2087.0;0;56;0;0.1286762439114618;0.0034527406128614;0.5862068965517241
Prudentópolis;87;129;Sul;PR;Prudentópolis;2021-11-21;52241.0;4127.0;21;109;0;0.0789992534599261;0.0020864837962519;0.6744186046511628
Estância Velha;58;112;Sul;RS;Estância Velha;2021-11-21;50022.0;6378.0;0;150;0;0.1275038982847547;0.0029986805805445;0.5178571428571429
Candeias do Jamari;28;81;Norte;RO;Candeias do Jamari;2021-11-21;26693.0;4062.0;0;80;0;0.1521747274566365;0.0029970404225826;0.345679012345679
Três Forquilhas;5;8;Sul;RS;Três Forquilhas;2021-11-21;2697.0;419.0;1;7;0;0.1553578049684835;0.0025954764553207;0.625
Cacimba de Areia;8;17;Nordeste;PB;Cacimba de Areia;2021-11-21;3682.0;145.0;0;4;0;0.0393807713199348;0.0010863661053775;0.47058823529411764
Arneiroz;48;91;Nordeste;CE;Arneiroz;2021-11-21;7840.0;669.0;0;17;0;0.0853316326530612;0.0021683673469387;0.5274725274725275
Itatiaiuçu;7;18;Sudeste;MG;Itatiaiuçu;2021-11-21;11146.0;1317.0;0;34;0;0.1181589808002871;0.0030504216759375;0.3888888888888889
Douradina;16;29;Sul;PR;Douradina;2021-11-21;8747.0;1095.0;1;13;0;0.125185777981022;0.0014862238481765;0.5517241379310345
Bannach;2;6;Norte;PA;Bannach;2021-11-21;3286.0;655.0;0;3;0;0.1993304930006086;0.0009129640900791;0.3333333333333333
Boca da Mata;55;80;Nordeste;AL;Boca da Mata;2021-11-21;27281.0;1989.0;0;46;0;0.0729078846083354;0.0016861551995894;0.6875
Itatuba;17;25;Nordeste;PB;Itatuba;2021-11-21;10962.0;1034.0;0;21;0;0.0943258529465426;0.0019157088122605;0.68
Palmeira d'Oeste;22;46;Sudeste;SP;Palmeira d'Oeste;2021-11-21;9283.0;980.0;0;21;0;0.105569320262846;0.0022621997199181;0.4782608695652174
Campestre da Serra;7;8;Sul;RS;Campestre da Serra;2021-11-21;3388.0;314.0;0;2;0;0.0926800472255017;0.0005903187721369;0.875
Capitão Leônidas Marques;15;38;Sul;PR;Capitão Leônidas Marques;2021-11-21;15780.0;1978.0;6;31;0;0.1253485424588086;0.0019645120405576;0.39473684210526316
Ponto Belo;8;12;Sudeste;ES;Ponto Belo;2021-11-21;7863.0;741.0;0;16;0;0.0942388401373521;0.002034846750604;0.6666666666666666
Paraipaba;188;461;Nordeste;CE;Paraipaba;2021-11-21;32744.0;2941.0;0;77;0;0.0898179819203518;0.0023515758612264;0.4078091106290672
Aparecida d'Oeste;9;12;Sudeste;SP;Aparecida d'Oeste;2021-11-21;4196.0;848.0;0;20;0;0.2020972354623451;0.0047664442326024;0.75
Doutor Camargo;6;9;Sul;PR;Doutor Camargo;2021-11-21;5979.0;689.0;0;17;0;0.1152366616491052;0.0028432848302391;0.6666666666666666
Campestre do Maranhão;15;35;Nordeste;MA;Campestre do Maranhão;2021-11-21;14374.0;1161.0;0;45;0;0.0807708362320857;0.0031306525671351;0.42857142857142855
Bom Jardim de Goiás;17;41;Centro-Oeste;GO;Bom Jardim de Goiás;2021-11-21;8841.0;1360.0;0;17;0;0.1538287524035742;0.0019228594050446;0.4146341463414634
Coronel Ezequiel;4;8;Nordeste;RN;Coronel Ezequiel;2021-11-21;5506.0;262.0;0;4;0;0.0475844533236469;0.0007264802034144;0.5
Ponte Serrada;18;26;Sul;SC;Ponte Serrada;2021-11-21;11593.0;1487.0;0;53;0;0.1282670577072371;0.0045717243163978;0.6923076923076923
Leopoldo de Bulhões;13;26;Centro-Oeste;GO;Leopoldo de Bulhões;2021-11-21;7647.0;860.0;0;15;0;0.1124624035569504;0.0019615535504119;0.5
São Miguel do Iguaçu;71;115;Sul;PR;São Miguel do Iguaçu;2021-11-21;27452.0;3631.0;-2;77;0;0.1322672300743115;0.0028048958181553;0.6173913043478261
Turiaçu;43;98;Nordeste;MA;Turiaçu;2021-11-21;35604.0;323.0;0;6;0;0.0090720143804066;0.0001685203909673;0.4387755102040816
São Félix do Piauí;8;13;Nordeste;PI;São Félix do Piauí;2021-11-21;2942.0;308.0;0;3;0;0.1046906866077498;0.0010197144799456;0.6153846153846154
Mimoso do Sul;29;58;Sudeste;ES;Mimoso do Sul;2021-11-21;26153.0;3638.0;0;64;0;0.1391045004397201;0.002447137995641;0.5
Governador Archer;8;18;Nordeste;MA;Governador Archer;2021-11-21;10840.0;715.0;0;7;0;0.0659594095940959;0.0006457564575645;0.4444444444444444
Olho d'Água;6;23;Nordeste;PB;Olho d'Água;2021-11-21;6526.0;424.0;0;9;0;0.0649708856880171;0.0013790989886607;0.2608695652173913
Barroquinha;158;238;Nordeste;CE;Barroquinha;2021-11-21;15017.0;1345.0;0;25;0;0.0895651594859159;0.001664779916095;0.6638655462184874
Miguel Alves;23;48;Nordeste;PI;Miguel Alves;2021-11-21;33760.0;2140.0;1;33;0;0.063388625592417;0.0009774881516587;0.4791666666666667
Ipiranga do Piauí;15;23;Nordeste;PI;Ipiranga do Piauí;2021-11-21;9811.0;788.0;0;15;0;0.0803180103964937;0.001528896136989;0.6521739130434783
Colorado;67;88;Sul;PR;Colorado;2021-11-21;24012.0;3126.0;1;77;0;0.1301849075462268;0.0032067299683491;0.7613636363636364
Lajes Pintadas;5;8;Nordeste;RN;Lajes Pintadas;2021-11-21;4759.0;440.0;0;9;0;0.0924563984030258;0.0018911536036982;0.625
Bertolínia;6;16;Nordeste;PI;Bertolínia;2021-11-21;5501.0;934.0;1;12;0;0.1697873113979276;0.0021814215597164;0.375
Pariquera-Açu;26;56;Sudeste;SP;Pariquera-Açu;2021-11-21;19648.0;2468.0;0;64;0;0.1256107491856677;0.003257328990228;0.4642857142857143
Pedreira;55;114;Sudeste;SP;Pedreira;2021-11-21;47919.0;4481.0;5;108;0;0.0935119681128571;0.002253803293057;0.4824561403508772
Bela Cruz;206;322;Nordeste;CE;Bela Cruz;2021-11-21;32591.0;3526.0;0;73;0;0.1081893774354883;0.0022398821760608;0.639751552795031
Porto Vera Cruz;2;4;Sul;RS;Porto Vera Cruz;2021-11-21;1360.0;133.0;0;5;0;0.0977941176470588;0.0036764705882352;0.5
São Jerônimo;11;18;Sul;RS;São Jerônimo;2021-11-21;24248.0;1891.0;1;76;0;0.0779858132629495;0.0031342791158033;0.6111111111111112
Itainópolis;20;25;Nordeste;PI;Itainópolis;2021-11-21;11530.0;999.0;1;11;0;0.0866435385949696;0.0009540329575021;0.8
Camutanga;12;62;Nordeste;PE;Camutanga;2021-11-21;8551.0;888.0;0;25;0;0.1038475032159981;0.0029236346626125;0.1935483870967742
Arenópolis;2;12;Centro-Oeste;GO;Arenópolis;2021-11-21;2612.0;422.0;0;9;0;0.1615620214395099;0.0034456355283307;0.16666666666666666
Dom Expedito Lopes;15;20;Nordeste;PI;Dom Expedito Lopes;2021-11-21;6904.0;624.0;1;12;0;0.0903823870220162;0.0017381228273464;0.75
Babaçulândia;18;43;Norte;TO;Babaçulândia;2021-11-21;10664.0;886.0;0;8;0;0.0830832708177044;0.0007501875468867;0.4186046511627907
Taipu;3;10;Nordeste;RN;Taipu;2021-11-21;12279.0;765.0;0;17;0;0.0623014903493769;0.0013844775633194;0.3
Itacuruba;11;31;Nordeste;PE;Itacuruba;2021-11-21;4918.0;354.0;0;7;0;0.0719804798698658;0.0014233428222854;0.3548387096774194
Gameleira;14;117;Nordeste;PE;Gameleira;2021-11-21;31052.0;606.0;0;40;0;0.0195156511657864;0.0012881617931212;0.11965811965811966
Conquista;6;14;Sudeste;MG;Conquista;2021-11-21;6939.0;877.0;0;16;0;0.1263870874765816;0.0023058077532785;0.42857142857142855
Juruena;9;26;Centro-Oeste;MT;Juruena;2021-11-21;15865.0;1475.0;0;38;0;0.0929719508351717;0.0023952095808383;0.34615384615384615
Três Cachoeiras;29;45;Sul;RS;Três Cachoeiras;2021-11-21;11053.0;1214.0;0;27;0;0.1098344340902922;0.0024427757169999;0.6444444444444445
Belo Campo;28;47;Nordeste;BA;Belo Campo;2021-11-21;17211.0;990.0;0;18;0;0.0575213526233222;0.0010458427749694;0.5957446808510638
Alcinópolis;4;12;Centro-Oeste;MS;Alcinópolis;2021-11-21;5343.0;422.0;0;11;0;0.078981845405203;0.0020587684821261;0.3333333333333333
Mangueirinha;31;45;Sul;PR;Mangueirinha;2021-11-21;16714.0;2179.0;0;51;0;0.1303697499102548;0.0030513342108412;0.6888888888888889
Cotriguaçu;11;23;Centro-Oeste;MT;Cotriguaçu;2021-11-21;19750.0;1271.0;0;39;0;0.0643544303797468;0.0019746835443037;0.4782608695652174
Bonito de Minas;11;15;Sudeste;MG;Bonito de Minas;2021-11-21;11230.0;123.0;0;1;0;0.0109528049866429;1.0;0.7333333333333333
Anapurus;27;38;Nordeste;MA;Anapurus;2021-11-21;15732.0;832.0;0;15;0;0.0528858377828629;0.0009534706331045;0.7105263157894737
Mantenópolis;34;65;Sudeste;ES;Mantenópolis;2021-11-21;15350.0;1087.0;0;49;0;0.070814332247557;0.0031921824104234;0.5230769230769231
Gramado;40;101;Sul;RS;Gramado;2021-11-21;36232.0;9321.0;0;146;0;0.2572587767719143;0.0040295871053212;0.39603960396039606
Lucrécia;18;22;Nordeste;RN;Lucrécia;2021-11-21;3996.0;572.0;2;5;0;0.1431431431431431;0.0012512512512512;0.8181818181818182
Agricolândia;9;12;Nordeste;PI;Agricolândia;2021-11-21;5139.0;718.0;18;8;0;0.139715898034637;0.0015567230978789;0.75
Igrapiúna;12;23;Nordeste;BA;Igrapiúna;2021-11-21;13226.0;795.0;0;14;0;0.0601088764554665;0.0010585210948132;0.5217391304347826
Seara;12;29;Sul;SC;Seara;2021-11-21;17541.0;3219.0;0;37;0;0.1835129126047545;0.0021093438230431;0.41379310344827586
Batayporã;11;32;Centro-Oeste;MS;Batayporã;2021-11-21;11329.0;1104.0;0;26;0;0.0974490246270632;0.0022949951452025;0.34375
Ipuã;26;39;Sudeste;SP;Ipuã;2021-11-21;16409.0;2137.0;0;63;0;0.1302334084953379;0.0038393564507282;0.6666666666666666
Brasnorte;21;49;Centro-Oeste;MT;Brasnorte;2021-11-21;19695.0;2276.0;0;41;0;0.1155623254633155;0.002081746636202;0.42857142857142855
Pedro Canário;51;88;Sudeste;ES;Pedro Canário;2021-11-21;26184.0;2467.0;3;66;0;0.0942178429575313;0.0025206232813932;0.5795454545454546
Carvalhos;8;12;Sudeste;MG;Carvalhos;2021-11-21;4478.0;251.0;0;2;0;0.0560518088432335;0.0004466279589102;0.6666666666666666
Terenos;19;38;Centro-Oeste;MS;Terenos;2021-11-21;21806.0;1793.0;0;77;0;0.0822250756672475;0.0035311382188388;0.5
Nova Araçá;9;14;Sul;RS;Nova Araçá;2021-11-21;4759.0;1191.0;0;10;0;0.2502626602227358;0.0021012817818869;0.6428571428571429
Brejão;11;26;Nordeste;PE;Brejão;2021-11-21;8993.0;492.0;0;9;0;0.0547092182808851;0.0010007783831869;0.4230769230769231
Entre Folhas;11;16;Sudeste;MG;Entre Folhas;2021-11-21;5370.0;608.0;0;12;0;0.1132216014897579;0.0022346368715083;0.6875
Laranjeiras do Sul;91;141;Sul;PR;Laranjeiras do Sul;2021-11-21;32073.0;3024.0;17;99;0;0.0942849125432606;0.0030867084463567;0.6453900709219859
Nazaré Paulista;12;37;Sudeste;SP;Nazaré Paulista;2021-11-21;18524.0;1664.0;0;49;0;0.0898294104944936;0.0026452170157633;0.32432432432432434
Lagoa do Carro;30;86;Nordeste;PE;Lagoa do Carro;2021-11-21;18071.0;1257.0;0;28;0;0.0695589618726135;0.0015494438603287;0.3488372093023256
Faria Lemos;5;8;Sudeste;MG;Faria Lemos;2021-11-21;3241.0;273.0;0;7;0;0.0842332613390928;0.0021598272138228;0.625
Belém do São Francisco;42;96;Nordeste;PE;Belém do São Francisco;2021-11-21;20729.0;1048.0;0;13;0;0.0505571904095711;0.0006271407207294;0.4375
Pedro Afonso;43;108;Norte;TO;Pedro Afonso;2021-11-21;13578.0;2229.0;0;31;0;0.1641626159964648;0.002283105022831;0.39814814814814814
Icapuí;92;186;Nordeste;CE;Icapuí;2021-11-21;19934.0;2838.0;0;33;0;0.1423698204073442;0.0016554630279923;0.4946236559139785
Parnarama;37;73;Nordeste;MA;Parnarama;2021-11-21;34907.0;1767.0;0;28;0;0.0506202194402268;0.0008021313776606;0.5068493150684932
Icém;4;13;Sudeste;SP;Icém;2021-11-21;8243.0;1238.0;0;29;0;0.1501880383355574;0.0035181366007521;0.3076923076923077
Sertão Santana;23;26;Sul;RS;Sertão Santana;2021-11-21;6486.0;730.0;0;11;0;0.112550107924761;0.0016959605303731;0.8846153846153846
Coroaci;14;21;Sudeste;MG;Coroaci;2021-11-21;9991.0;520.0;0;14;0;0.0520468421579421;0.0014012611350215;0.6666666666666666
Itapicuru;40;56;Nordeste;BA;Itapicuru;2021-11-21;35576.0;1628.0;0;25;0;0.0457611873172925;0.0007027209354621;0.7142857142857143
São João da Baliza;12;25;Norte;RR;São João da Baliza;2021-11-21;8201.0;1677.0;1;12;0;0.2044872576515059;0.0014632361907084;0.48
São José do Piauí;11;16;Nordeste;PI;São José do Piauí;2021-11-21;6705.0;244.0;0;9;0;0.0363907531692766;0.0013422818791946;0.6875
São José dos Quatro Marcos;44;82;Centro-Oeste;MT;São José dos Quatro Marcos;2021-11-21;18906.0;2916.0;0;99;0;0.1542367502380196;0.0052364328784512;0.5365853658536586
Balneário Barra do Sul;10;22;Sul;SC;Balneário Barra do Sul;2021-11-21;10795.0;1609.0;0;47;0;0.1490504863362668;0.0043538675312644;0.45454545454545453
Araçariguama;11;46;Sudeste;SP;Araçariguama;2021-11-21;22364.0;2215.0;0;71;0;0.0990431049901627;0.0031747451260955;0.2391304347826087
Pomerode;46;81;Sul;SC;Pomerode;2021-11-21;33447.0;6100.0;0;73;0;0.1823780907106766;0.0021825574789966;0.5679012345679012
Bituruna;19;31;Sul;PR;Bituruna;2021-11-21;16389.0;1472.0;0;22;0;0.0898163402282018;0.0013423637805845;0.6129032258064516
Juatuba;18;40;Sudeste;MG;Juatuba;2021-11-21;26946.0;2919.0;0;79;0;0.1083277666443999;0.0029317895049357;0.45
Taquarussu;12;18;Centro-Oeste;MS;Taquarussu;2021-11-21;3588.0;272.0;0;7;0;0.0758082497212932;0.0019509476031215;0.6666666666666666
Divisa Alegre;17;29;Sudeste;MG;Divisa Alegre;2021-11-21;6786.0;572.0;1;10;0;0.0842911877394636;0.0014736221632773;0.5862068965517241
Itumirim;10;15;Sudeste;MG;Itumirim;2021-11-21;6023.0;283.0;0;9;0;0.0469865515523825;0.0014942719574962;0.6666666666666666
Fátima do Sul;59;100;Centro-Oeste;MS;Fátima do Sul;2021-11-21;19189.0;2822.0;0;71;0;0.1470634217520454;0.0037000364792328;0.59
Três Barras do Paraná;6;17;Sul;PR;Três Barras do Paraná;2021-11-21;12040.0;1585.0;1;57;0;0.1316445182724252;0.0047342192691029;0.35294117647058826
Alvarães;50;190;Norte;AM;Alvarães;2021-11-21;16041.0;2908.0;0;46;0;0.1812854560189514;0.0028676516426656;0.2631578947368421
Piratininga;27;40;Sudeste;SP;Piratininga;2021-11-21;13636.0;1496.0;0;43;0;0.1097095922557934;0.0031534174244646;0.675
Assaí;20;31;Sul;PR;Assaí;2021-11-21;15119.0;1769.0;1;58;0;0.1170050929294265;0.0038362325550631;0.6451612903225806
Lagoa Grande;52;116;Nordeste;PE;Lagoa Grande;2021-11-21;25601.0;1958.0;8;35;0;0.0764813874458028;0.0013671340963243;0.4482758620689655
Encantado;29;62;Sul;RS;Encantado;2021-11-21;22706.0;2716.0;1;51;0;0.1196159605390645;0.0022461023518012;0.46774193548387094
Figueirópolis;8;13;Norte;TO;Figueirópolis;2021-11-21;5263.0;952.0;0;20;0;0.1808854265627968;0.0038001140034201;0.6153846153846154
Vicentina;6;23;Centro-Oeste;MS;Vicentina;2021-11-21;6102.0;959.0;0;32;0;0.1571615863651262;0.0052441822353326;0.2608695652173913
Coronel Xavier Chaves;3;3;Sudeste;MG;Coronel Xavier Chaves;2021-11-21;3434.0;332.0;0;4;0;0.0966802562609202;0.0011648223645894;1.0
Coimbra;24;35;Sudeste;MG;Coimbra;2021-11-21;7556.0;597.0;0;12;0;0.0790100582318687;0.0015881418740074;0.6857142857142857
Conceição da Barra de Minas;4;9;Sudeste;MG;Conceição da Barra de Minas;2021-11-21;3954.0;276.0;0;5;0;0.0698027314112291;0.0012645422357106;0.4444444444444444
Alto Garças;7;23;Centro-Oeste;MT;Alto Garças;2021-11-21;12030.0;1158.0;0;42;0;0.0962593516209476;0.0034912718204488;0.30434782608695654
Petrolina de Goiás;7;15;Centro-Oeste;GO;Petrolina de Goiás;2021-11-21;10281.0;1633.0;0;42;0;0.1588366890380313;0.004085205719288;0.4666666666666667
Duque Bacelar;10;24;Nordeste;MA;Duque Bacelar;2021-11-21;11349.0;864.0;0;19;0;0.0761300555114988;0.0016741563133315;0.4166666666666667
Brasilândia de Minas;14;37;Sudeste;MG;Brasilândia de Minas;2021-11-21;16538.0;1890.0;0;28;0;0.1142822590397871;0.0016930705042931;0.3783783783783784
Umburanas;13;25;Nordeste;BA;Umburanas;2021-11-21;19222.0;774.0;0;10;0;0.0402663614608261;0.000520237228176;0.52
São Luís do Quitunde;40;70;Nordeste;AL;São Luís do Quitunde;2021-11-21;34555.0;1361.0;0;27;0;0.0393864853132687;0.0007813630444219;0.5714285714285714
Água Azul do Norte;11;22;Norte;PA;Água Azul do Norte;2021-11-21;27430.0;1277.0;0;18;0;0.0465548669340138;0.0006562158220925;0.5
Tonantins;23;150;Norte;AM;Tonantins;2021-11-21;18755.0;1424.0;0;37;0;0.0759264196214342;0.0019728072513996;0.15333333333333332
Itabirinha;8;12;Sudeste;MG;Itabirinha;2021-11-21;11512.0;1178.0;0;42;0;0.1023280055594162;0.0036483669214732;0.6666666666666666
Ferreiros;21;63;Nordeste;PE;Ferreiros;2021-11-21;12123.0;1049.0;0;20;0;0.0865297368638125;0.0016497566608925;0.3333333333333333
Pedra;10;34;Nordeste;PE;Pedra;2021-11-21;22617.0;1196.0;0;32;0;0.0528805765574567;0.0014148649246142;0.29411764705882354
Rio Preto da Eva;45;160;Norte;AM;Rio Preto da Eva;2021-11-21;33347.0;4895.0;0;85;0;0.1467898161753681;0.0025489549284793;0.28125
Araçás;9;13;Nordeste;BA;Araçás;2021-11-21;12177.0;718.0;0;17;0;0.0589636199392296;0.0013960745668062;0.6923076923076923
Manoel Urbano;17;32;Norte;AC;Manoel Urbano;2021-11-21;9459.0;907.0;0;14;0;0.0958875145364203;0.001480071889206;0.53125
Clevelândia;42;74;Sul;PR;Clevelândia;2021-11-21;16559.0;2258.0;0;89;0;0.1363608913581738;0.0053747206956941;0.5675675675675675
Xapuri;34;50;Norte;AC;Xapuri;2021-11-21;19323.0;3031.0;0;31;0;0.1568597008746053;0.0016043057496247;0.68
Talismã;2;9;Norte;TO;Talismã;2021-11-21;2793.0;371.0;0;2;0;0.1328320802005012;0.0007160759040458;0.2222222222222222
Pau D'Arco;16;34;Norte;PA;Pau D'Arco;2021-11-21;5483.0;748.0;0;12;0;0.1364216669706365;0.002188582892577;0.47058823529411764
Pedro Gomes;9;22;Centro-Oeste;MS;Pedro Gomes;2021-11-21;7674.0;660.0;0;16;0;0.0860046911649726;0.0020849622100599;0.4090909090909091
Porto Rico do Maranhão;8;18;Nordeste;MA;Porto Rico do Maranhão;2021-11-21;5975.0;245.0;0;7;0;0.0410041841004184;0.0011715481171548;0.4444444444444444
Mojuí dos Campos;24;38;Norte;PA;Mojuí dos Campos;2021-11-21;16084.0;1412.0;0;33;0;0.0877891071872668;0.0020517284257647;0.631578947368421
Turvânia;7;23;Centro-Oeste;GO;Turvânia;2021-11-21;4598.0;784.0;0;25;0;0.1705089169204001;0.0054371465854719;0.30434782608695654
Muritiba;47;55;Nordeste;BA;Muritiba;2021-11-21;29399.0;2431.0;0;29;0;0.0826898874111364;0.0009864281097996;0.8545454545454545
São Rafael;7;8;Nordeste;RN;São Rafael;2021-11-21;8202.0;1007.0;0;16;0;0.1227749329431845;0.0019507437210436;0.875
Alegrete do Piauí;7;12;Nordeste;PI;Alegrete do Piauí;2021-11-21;4915.0;529.0;0;7;0;0.1076297049847405;0.0014242115971515;0.5833333333333334
Maracaí;16;35;Sudeste;SP;Maracaí;2021-11-21;14002.0;2145.0;0;46;0;0.1531924010855592;0.0032852449650049;0.45714285714285713
Serrolândia;8;13;Nordeste;BA;Serrolândia;2021-11-21;13397.0;1137.0;0;13;0;0.0848697469582742;0.0009703664999626;0.6153846153846154
Presidente Kennedy;38;70;Norte;TO;Presidente Kennedy;2021-11-21;3684.0;359.0;0;10;0;0.0974484256243213;0.00271444082519;0.5428571428571428
Braúna;2;4;Sudeste;SP;Braúna;2021-11-21;5686.0;623.0;0;24;0;0.1095673584241997;0.004220893422441;0.5
São Miguel da Baixa Grande;11;18;Nordeste;PI;São Miguel da Baixa Grande;2021-11-21;2452.0;194.0;0;3;0;0.0791190864600326;0.0012234910277324;0.6111111111111112
Santo Antônio do Leverger;10;33;Centro-Oeste;MT;Santo Antônio do Leverger;2021-11-21;16628.0;1359.0;0;58;0;0.0817296127014674;0.0034880923743083;0.30303030303030304
Condor;9;21;Sul;RS;Condor;2021-11-21;6753.0;1117.0;1;7;0;0.1654079668295572;0.001036576336443;0.42857142857142855
Horizontina;42;69;Sul;RS;Horizontina;2021-11-21;19329.0;2877.0;2;41;0;0.1488437063479745;0.0021211650887267;0.6086956521739131
Guabiruba;9;39;Sul;SC;Guabiruba;2021-11-21;23832.0;4076.0;0;48;0;0.1710305471634776;0.0020140986908358;0.23076923076923078
Nova Mamoré;35;137;Norte;RO;Nova Mamoré;2021-11-21;30583.0;3719.0;6;82;0;0.1216035052153157;0.0026812281332766;0.25547445255474455
Carneirinho;12;19;Sudeste;MG;Carneirinho;2021-11-21;10027.0;1357.0;0;46;0;0.1353345965892091;0.004587613443702;0.631578947368421
Lebon Régis;9;27;Sul;SC;Lebon Régis;2021-11-21;12107.0;1242.0;0;61;0;0.1025852812422565;0.0050384075328322;0.3333333333333333
Nova Independência;8;15;Sudeste;SP;Nova Independência;2021-11-21;3969.0;551.0;0;7;0;0.1388259007306626;0.001763668430335;0.5333333333333333
Caraí;10;26;Sudeste;MG;Caraí;2021-11-21;23685.0;1024.0;0;17;0;0.0432341144184082;0.0007177538526493;0.38461538461538464
Bastos;29;61;Sudeste;SP;Bastos;2021-11-21;20953.0;2155.0;0;50;0;0.1028492339999045;0.0023862931322483;0.47540983606557374
Mirador;20;33;Nordeste;MA;Mirador;2021-11-21;21015.0;895.0;0;9;0;0.0425886271710682;0.0004282655246252;0.6060606060606061
Trindade do Sul;8;18;Sul;RS;Trindade do Sul;2021-11-21;5802.0;876.0;0;18;0;0.1509824198552223;0.0031023784901758;0.4444444444444444
Ibiraçu;15;44;Sudeste;ES;Ibiraçu;2021-11-21;12479.0;1980.0;0;46;0;0.1586665598204984;0.0036861928039105;0.3409090909090909
Arroio dos Ratos;22;41;Sul;RS;Arroio dos Ratos;2021-11-21;14151.0;1231.0;0;40;0;0.0869903187053918;0.0028266553600452;0.5365853658536586
Matelândia;32;66;Sul;PR;Matelândia;2021-11-21;17943.0;3045.0;0;65;0;0.1697040628657415;0.0036225826227498;0.48484848484848486
Tarumirim;21;32;Sudeste;MG;Tarumirim;2021-11-21;14326.0;540.0;0;42;0;0.0376937037554097;0.0029317325143096;0.65625
Augustinópolis;40;92;Norte;TO;Augustinópolis;2021-11-21;18412.0;1929.0;0;32;0;0.1047686291548989;0.0017379969585053;0.43478260869565216
Guareí;6;13;Sudeste;SP;Guareí;2021-11-21;18520.0;3432.0;0;33;0;0.1853131749460043;0.0017818574514038;0.46153846153846156
Castro Alves;14;26;Nordeste;BA;Castro Alves;2021-11-21;26264.0;2255.0;0;41;0;0.0858589704538531;0.00156107219007;0.5384615384615384
Planura;6;24;Sudeste;MG;Planura;2021-11-21;12133.0;1913.0;0;49;0;0.1576691667353498;0.0040385724882551;0.25
Piracanjuba;61;155;Centro-Oeste;GO;Piracanjuba;2021-11-21;24524.0;3435.0;1;82;0;0.1400668732670037;0.0033436633501875;0.3935483870967742
Bujaru;52;79;Norte;PA;Bujaru;2021-11-21;29132.0;1484.0;0;40;0;0.0509405464780996;0.0013730605519703;0.6582278481012658
