NO_MUNICIPIO_ESC;Presente;Total_Alunos;regiao;estado;municipio;data;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Casos_per_capita;Mortes_per_capita;Relacao_Presenca
Monteiro;111;181;Nordeste;PB;Monteiro;2021-11-21;33222.0;4780.0;0;70;0;0.1438805610739871;0.0021070375052675;0.6132596685082873
Caucaia;1163;3245;Nordeste;CE;Caucaia;2021-11-21;361400.0;22646.0;1;979;0;0.0626618705035971;0.0027089097952407;0.3583975346687211
Propriá;86;153;Nordeste;SE;Propriá;2021-11-21;29626.0;3679.0;0;80;0;0.124181462229123;0.0027003307905218;0.5620915032679739
Jaú;400;623;Sudeste;SP;Jaú;2021-11-21;150252.0;13562.0;0;553;0;0.0902616936879376;0.0036804834544631;0.6420545746388443
Taubaté;749;1403;Sudeste;SP;Taubaté;2021-11-21;314924.0;29102.0;0;1011;0;0.0924095972361585;0.003210298357699;0.533856022808268
Posse;136;267;Centro-Oeste;GO;Posse;2021-11-21;36900.0;2872.0;3;47;0;0.0778319783197832;0.0012737127371273;0.5093632958801498
Serra;1026;1736;Sudeste;ES;Serra;2021-11-21;517510.0;78228.0;32;1583;0;0.1511622963807462;0.0030588780893122;0.5910138248847926
Santa Luzia;510;889;Nordeste;MA;Santa Luzia;2021-11-21;72667.0;5951.0;0;112;0;0.0818941197517442;0.0015412773335902;0.5736782902137233
Vila Velha;1627;2362;Sudeste;ES;Vila Velha;2021-11-21;493838.0;77598.0;83;1796;0;0.1571325009416043;0.0036368201717972;0.6888230313293818
Feira Grande;53;87;Nordeste;AL;Feira Grande;2021-11-21;22166.0;814.0;0;20;0;0.0367229089596679;0.0009022827754218;0.6091954022988506
Caraúbas;24;37;Nordeste;RN;Caraúbas;2021-11-21;20493.0;3124.0;0;43;0;0.1524422973698336;0.0020982774605963;0.6486486486486487
Petrópolis;1016;1492;Sudeste;RJ;Petrópolis;2021-11-21;306191.0;23739.0;6;1530;1;0.0775300384400586;0.0049968810317742;0.6809651474530831
Currais Novos;308;370;Nordeste;RN;Currais Novos;2021-11-21;44786.0;4004.0;6;87;0;0.0894029384182557;0.0019425713392578;0.8324324324324325
Boa Viagem;310;663;Nordeste;CE;Boa Viagem;2021-11-21;54470.0;4307.0;0;118;0;0.0790710482834587;0.0021663300899577;0.4675716440422323
Duque de Caxias;1618;2732;Sudeste;RJ;Duque de Caxias;2021-11-21;919596.0;26201.0;3;1796;0;0.0284918594687232;0.0019530315486365;0.5922401171303074
Senador Canedo;229;472;Centro-Oeste;GO;Senador Canedo;2021-11-21;115371.0;22918.0;12;411;0;0.1986461069072817;0.0035624203656031;0.4851694915254237
Caririaçu;160;347;Nordeste;CE;Caririaçu;2021-11-21;26965.0;1579.0;1;47;0;0.0585573892082329;0.0017430001854255;0.4610951008645533
Sinop;591;900;Centro-Oeste;MT;Sinop;2021-11-21;142996.0;26679.0;0;454;0;0.186571652353912;0.0031749139836079;0.6566666666666666
Sete Lagoas;612;888;Sudeste;MG;Sete Lagoas;2021-11-21;239639.0;23666.0;0;611;0;0.0987568801405447;0.0025496684596413;0.6891891891891891
Dom Pedrito;49;74;Sul;RS;Dom Pedrito;2021-11-21;38461.0;4500.0;0;103;0;0.1170016380229323;0.0026780374925248;0.6621621621621622
Banabuiú;77;200;Nordeste;CE;Banabuiú;2021-11-21;18197.0;2363.0;0;22;0;0.1298565697642468;0.0012089904929383;0.385
Uberlândia;2165;3069;Sudeste;MG;Uberlândia;2021-11-21;691305.0;128541.0;31;3176;1;0.1859396359060038;0.004594209502318;0.7054415118931248
Sertãozinho;421;701;Nordeste;PB;Sertãozinho;2021-11-21;5024.0;707.0;0;7;0;0.1407245222929936;0.0013933121019108;0.6005706134094151
Caçapava;189;350;Sudeste;SP;Caçapava;2021-11-21;94263.0;9013.0;0;284;0;0.0956154588756988;0.0030128470343613;0.54
Patos;532;711;Nordeste;PB;Patos;2021-11-21;107605.0;14477.0;1;268;0;0.134538357882998;0.0024905905859393;0.7482419127988749
Carapicuíba;422;846;Sudeste;SP;Carapicuíba;2021-11-21;400927.0;34152.0;0;1175;0;0.0851825893491832;0.0029307080840152;0.4988179669030733
General Sampaio;20;114;Nordeste;CE;General Sampaio;2021-11-21;7618.0;554.0;0;19;0;0.0727224993436597;0.0024940929377789;0.17543859649122806
Goiânia;6061;8920;Centro-Oeste;GO;Goiânia;2021-11-21;1516113.0;211407.0;3;6895;0;0.1394401340797157;0.0045478140481613;0.6794843049327354
Bragança Paulista;439;763;Sudeste;SP;Bragança Paulista;2021-11-21;168668.0;23400.0;0;592;0;0.1387340811535086;0.003509853677046;0.5753604193971167
Teutônia;87;133;Sul;RS;Teutônia;2021-11-21;33232.0;5212.0;2;94;0;0.1568367838228213;0.0028285989407799;0.6541353383458647
Pinhais;334;570;Sul;PR;Pinhais;2021-11-21;132157.0;19487.0;1;609;0;0.1474534076893392;0.0046081554514706;0.5859649122807018
Limeira;835;1309;Sudeste;SP;Limeira;2021-11-21;306114.0;25976.0;393;1110;4;0.0848572753941342;0.0036261000803622;0.6378915202444614
Gravataí;523;872;Sul;RS;Gravataí;2021-11-21;281519.0;25125.0;6;955;0;0.0892479726057566;0.0033923109985471;0.5997706422018348
Niterói;2364;3102;Sudeste;RJ;Niterói;2021-11-21;513584.0;57590.0;12;2494;0;0.1121335555624785;0.0048560702825633;0.7620889748549323
Araraquara;624;955;Sudeste;SP;Araraquara;2021-11-21;236072.0;24333.0;-3;538;0;0.1030744857501101;0.0022789657392659;0.6534031413612565
Sanclerlândia;5;26;Centro-Oeste;GO;Sanclerlândia;2021-11-21;7637.0;944.0;0;30;0;0.1236087468901401;0.0039282440748985;0.19230769230769232
Indaiatuba;560;913;Sudeste;SP;Indaiatuba;2021-11-21;251627.0;27698.0;-1;737;0;0.1100756278141852;0.0029289384684473;0.6133625410733844
Fazenda Rio Grande;174;344;Sul;PR;Fazenda Rio Grande;2021-11-21;100209.0;16624.0;0;477;0;0.1658932830384496;0.0047600514923809;0.5058139534883721
Rio das Ostras;491;770;Sudeste;RJ;Rio das Ostras;2021-11-21;150674.0;17584.0;1;523;0;0.1167022844020866;0.0034710699921685;0.6376623376623377
Jardim;238;493;Nordeste;CE;Jardim;2021-11-21;27174.0;1940.0;0;59;0;0.071391771546331;0.0021711930521822;0.4827586206896552
Franca;998;1766;Sudeste;SP;Franca;2021-11-21;353187.0;38498.0;-1;951;0;0.109001746949916;0.0026926245869751;0.565118912797282
Lorena;271;436;Sudeste;SP;Lorena;2021-11-21;88706.0;5395.0;0;142;0;0.0608188848555903;0.0016007936328996;0.6215596330275229
Serranópolis de Minas;8;10;Sudeste;MG;Serranópolis de Minas;2021-11-21;4781.0;218.0;0;2;0;0.0455971554068186;0.000418322526668;0.8
Itaquaquecetuba;338;659;Sudeste;SP;Itaquaquecetuba;2021-11-21;370821.0;20306.0;7;1048;7;0.0547595740262822;0.0028261614094131;0.5128983308042488
Xaxim;40;67;Sul;SC;Xaxim;2021-11-21;28706.0;6176.0;0;116;0;0.2151466592350031;0.004040967045217;0.5970149253731343
Campo Bom;106;213;Sul;RS;Campo Bom;2021-11-21;66712.0;10882.0;2;268;0;0.1631190790262621;0.0040172682575848;0.49765258215962443
Mogi das Cruzes;1360;2209;Sudeste;SP;Mogi das Cruzes;2021-11-21;445842.0;33923.0;0;1719;0;0.0760874928786431;0.003855625984093;0.6156631960162969
Casimiro de Abreu;87;173;Sudeste;RJ;Casimiro de Abreu;2021-11-21;44184.0;4962.0;0;154;0;0.1123030961434003;0.0034854245880861;0.5028901734104047
Salgadinho;34;56;Nordeste;PB;Salgadinho;2021-11-21;3885.0;191.0;0;2;0;0.0491634491634491;0.0005148005148005;0.6071428571428571
Suzano;843;1429;Sudeste;SP;Suzano;2021-11-21;297637.0;23816.0;0;961;0;0.0800169333785786;0.0032287652408806;0.5899230230930721
Jaboatão dos Guararapes;1492;2485;Nordeste;PE;Jaboatão dos Guararapes;2021-11-21;702298.0;36295.0;4;1738;0;0.0516803408239807;0.0024747329481217;0.6004024144869216
Governador Valadares;717;1050;Sudeste;MG;Governador Valadares;2021-11-21;279885.0;33362.0;28;1281;1;0.1191989567143648;0.0045768797899137;0.6828571428571428
São José do Rio Preto;1375;2206;Sudeste;SP;São José do Rio Preto;2021-11-21;460671.0;96075.0;2;2819;0;0.2085544781416672;0.0061193346227568;0.6233000906618313
Colina;23;44;Sudeste;SP;Colina;2021-11-21;18468.0;1680.0;0;68;0;0.0909681611435997;0.0036820446177171;0.5227272727272727
Abaetetuba;590;850;Norte;PA;Abaetetuba;2021-11-21;157698.0;9688.0;0;226;0;0.0614338799477482;0.0014331189996068;0.6941176470588235
Santa Bárbara d'Oeste;277;536;Sudeste;SP;Santa Bárbara d'Oeste;2021-11-21;193475.0;23335.0;0;803;0;0.1206098979196278;0.0041504070293319;0.5167910447761194
Guarujá;473;999;Sudeste;SP;Guarujá;2021-11-21;320459.0;22645.0;0;1305;0;0.0706642659435372;0.0040722838178987;0.47347347347347346
Coité do Nóia;23;48;Nordeste;AL;Coité do Nóia;2021-11-21;10693.0;574.0;0;21;0;0.05367997755541;0.0019639016178808;0.4791666666666667
Canoas;742;1258;Sul;RS;Canoas;2021-11-21;346616.0;45011.0;6;1684;0;0.1298584023818866;0.0048584023818865;0.589825119236884
Araçuaí;103;146;Sudeste;MG;Araçuaí;2021-11-21;36708.0;2194.0;4;54;0;0.0597689876866078;0.0014710689767898;0.7054794520547946
Morada Nova;323;597;Nordeste;CE;Morada Nova;2021-11-21;61890.0;9332.0;0;168;0;0.1507836484084666;0.0027144934561318;0.541038525963149
Divinópolis;872;1214;Sudeste;MG;Divinópolis;2021-11-21;238230.0;21781.0;0;653;0;0.091428451496453;0.0027410485665113;0.7182866556836903
Santana do Ipanema;157;237;Nordeste;AL;Santana do Ipanema;2021-11-21;47654.0;4951.0;0;103;0;0.1038947412599152;0.0021614135224745;0.6624472573839663
Volta Redonda;754;1246;Sudeste;RJ;Volta Redonda;2021-11-21;273012.0;39647.0;3;1267;2;0.1452207228986271;0.0046408216488652;0.6051364365971108
Taboão da Serra;683;1116;Sudeste;SP;Taboão da Serra;2021-11-21;289664.0;18719.0;0;941;0;0.0646231495802032;0.003248591471498;0.6120071684587813
Macieira;3;4;Sul;SC;Macieira;2021-11-21;1775.0;179.0;0;6;0;0.1008450704225352;0.0033802816901408;0.75
Anajatuba;28;97;Nordeste;MA;Anajatuba;2021-11-21;26803.0;1207.0;0;27;0;0.0450322725068089;0.001007349923516;0.28865979381443296
Brejo Santo;328;634;Nordeste;CE;Brejo Santo;2021-11-21;49477.0;8451.0;0;155;0;0.1708066374274915;0.0031327687612425;0.5173501577287066
Caruaru;1172;1773;Nordeste;PE;Caruaru;2021-11-21;361118.0;35911.0;3;721;0;0.0994439490692793;0.0019965772960638;0.6610265087422448
Campo Novo do Parecis;105;186;Centro-Oeste;MT;Campo Novo do Parecis;2021-11-21;35360.0;7982.0;0;96;0;0.225735294117647;0.0027149321266968;0.5645161290322581
Ponte Nova;159;220;Sudeste;MG;Ponte Nova;2021-11-21;59742.0;6747.0;2;208;0;0.1129356231796726;0.0034816377088145;0.7227272727272728
Casa Branca;49;113;Sudeste;SP;Casa Branca;2021-11-21;30380.0;3293.0;0;104;0;0.1083936800526662;0.0034233048057932;0.4336283185840708
Santos;1365;2271;Sudeste;SP;Santos;2021-11-21;433311.0;62272.0;50;2265;0;0.143712022081138;0.0052271924783815;0.6010568031704095
Ouro Verde;15;31;Sudeste;SP;Ouro Verde;2021-11-21;8562.0;1019.0;0;28;0;0.1190142490072413;0.0032702639570193;0.4838709677419355
Campina Grande;2123;2625;Nordeste;PB;Campina Grande;2021-11-21;409731.0;47544.0;27;1164;0;0.1160371072728204;0.002840888290122;0.8087619047619048
Pelotas;1037;1427;Sul;RS;Pelotas;2021-11-21;342405.0;49927.0;75;1198;0;0.1458127071742527;0.0034987806836932;0.7266993693062369
São Domingos;68;125;Nordeste;PB;São Domingos;2021-11-21;3073.0;339.0;0;2;0;0.1103156524568825;0.0006508298080052;0.544
Pradópolis;32;71;Sudeste;SP;Pradópolis;2021-11-21;21496.0;2000.0;0;38;0;0.0930405656866393;0.0017677707480461;0.4507042253521127
